Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:31:16.840,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.191, 0.126, 1.08, -2.014, 0.427, 0, , , , , , , 9.624, -16.661, -164.207, -11.200, -26.900, -30.287, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.840,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.185, 0.125, 1.081, 2.197, 3.906, 1.404, , , , , , , 9.619, -16.639, -164.202, -11.200, -26.900, -30.287, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.841,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.174, 0.129, 1.056, 5.798, 4.578, 1.831, , , , , , , 9.651, -16.6, -164.174, -11.200, -26.900, -30.287, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.841,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.167, 0.138, 1.021, 7.263, 2.258, 1.526, , , , , , , 9.712, -16.573, -164.152, -11.200, -26.900, -30.287, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.900,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.168, 0.145, 0.991, 7.69, -0.122, 0.977, , , , , , , 9.778, -16.567, -164.141, -11.200, -26.900, -30.287, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.900,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.173, 0.151, 0.974, 6.287, -1.343, 0.305, , , , , , , 9.844, -16.578, -164.136, -11.200, -26.900, -30.287, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.900,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.178, 0.155, 0.968, 4.272, -1.221, -0.061, , , , , , , 9.888, -16.595, -164.141, -11.200, -26.900, -30.287, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.900,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.177, 0.154, 0.971, 2.319, 0.366, 0.366, , , , , , , 9.915, -16.6, -164.141, -11.200, -26.900, -30.287, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.930,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.172, 0.151, 0.979, 0.916, 3.052, 1.404, , , , , , , 9.926, -16.584, -164.13, -11.000, -26.500, -30.060, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.930,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.164, 0.149, 0.987, -0.183, 4.639, 2.38, , , , , , , 9.915, -16.551, -164.108, -11.000, -26.500, -30.060, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.930,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.157, 0.146, 0.987, -0.854, 4.028, 3.174, , , , , , , 9.899, -16.512, -164.07, -11.000, -26.500, -30.060, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.930,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.155, 0.142, 0.987, -0.854, 1.221, 3.235, , , , , , , 9.877, -16.49, -164.037, -11.000, -26.500, -30.060, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
 13:31:16.989,d0:1c:1b:3a:ee:9d, 2025-10-17 13:03:28.788, 0.162, 0.139, 0.991, -0.061, -3.052, 2.563, , , , , , , 9.86, -16.507, -164.009, -11.000, -26.500, -30.060, 30.55, 0.14517, -0.07681, -0.0975, -0.98154,
