Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:03:01.016,d0:1c:1b:3a:ee:9d, 2025-10-17 12:35:25.053, -0.021, -0.134, 1.024, -0.061, 0.854, 0.305, , , , , , , -6.493, -5.081, -152.38, -11.000, -26.900, -27.287, 30.83, 0.23883, -0.00586, 0.065, -0.96881,
 13:03:01.016,d0:1c:1b:3a:ee:9d, 2025-10-17 12:35:25.053, -0.021, -0.134, 1.02, 0.061, 0.977, 0.488, , , , , , , -6.498, -5.07, -152.38, -11.000, -26.900, -27.287, 30.83, 0.23883, -0.00586, 0.065, -0.96881,
 13:03:01.016,d0:1c:1b:3a:ee:9d, 2025-10-17 12:35:25.053, -0.021, -0.134, 1.015, 0.061, 0.549, 0.61, , , , , , , -6.498, -5.065, -152.375, -11.000, -26.900, -27.287, 30.83, 0.23883, -0.00586, 0.065, -0.96881,
 13:03:01.016,d0:1c:1b:3a:ee:9d, 2025-10-17 12:35:25.053, -0.018, -0.133, 1.013, 0.122, -0.122, 0.488, , , , , , , -6.504, -5.065, -152.369, -11.000, -26.900, -27.287, 30.83, 0.23883, -0.00586, 0.065, -0.96881,
 13:03:01.016,d0:1c:1b:3a:ee:9d, 2025-10-17 12:35:25.053, -0.015, -0.131, 1.012, -0.122, -0.183, 0.244, , , , , , , -6.504, -5.065, -152.369, -11.000, -26.900, -27.287, 30.83, 0.23883, -0.00586, 0.065, -0.96881,
 13:03:01.016,d0:1c:1b:3a:ee:9d, 2025-10-17 12:35:25.053, -0.015, -0.132, 1.012, -0.427, -0.061, 0.183, , , , , , , -6.515, -5.07, -152.364, -11.000, -26.900, -27.287, 30.83, 0.23883, -0.00586, 0.065, -0.96881,
 13:03:01.016,d0:1c:1b:3a:ee:9d, 2025-10-17 12:35:25.053, -0.017, -0.133, 1.015, -0.427, 0.061, 0, , , , , , , -6.52, -5.07, -152.364, -11.000, -26.900, -27.287, 30.83, 0.23883, -0.00586, 0.065, -0.96881,
 13:03:01.016,d0:1c:1b:3a:ee:9d, 2025-10-17 12:35:25.053, -0.02, -0.134, 1.018, -0.549, 0.122, 0.061, , , , , , , -6.531, -5.07, -152.364, -11.000, -26.900, -27.287, 30.83, 0.23883, -0.00586, 0.065, -0.96881,
 13:03:01.046,d0:1c:1b:3a:ee:9d, 2025-10-17 12:35:25.053, -0.018, -0.138, 1.02, -0.488, -0.122, 0.183, , , , , , , -6.537, -5.07, -152.364, -11.000, -26.900, -27.287, 30.83, 0.23883, -0.00586, 0.065, -0.96881,
 13:03:01.046,d0:1c:1b:3a:ee:9d, 2025-10-17 12:35:25.053, -0.014, -0.14, 1.021, -0.061, 0, 0.183, , , , , , , -6.548, -5.07, -152.364, -11.000, -26.900, -27.287, 30.83, 0.23883, -0.00586, 0.065, -0.96881,
