Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
13:14:57.572,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.183,0.069,0.499,0.888,-5.737,-7.812,-6.592,,,,,,,30.081,-7.449,-147.711,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.572,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.183,0.059,0.509,0.911,-7.446,-4.028,-8.789,,,,,,,30.009,-7.465,-147.805,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.572,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.183,0.042,0.513,0.921,-9.277,-0.977,-10.742,,,,,,,29.921,-7.432,-147.903,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.573,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.183,0.028,0.506,0.924,-9.949,-0.732,-12.207,,,,,,,29.822,-7.388,-148.013,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.632,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.021,0.495,0.928,-9.521,-1.282,-13.062,,,,,,,29.724,-7.333,-148.129,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.632,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.019,0.481,0.932,-7.629,-1.465,-13.245,,,,,,,29.636,-7.284,-148.255,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.632,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.017,0.47,0.935,-4.883,-1.038,-12.695,,,,,,,29.57,-7.234,-148.376,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.632,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.009,0.469,0.933,-2.502,-0.671,-11.719,,,,,,,29.531,-7.185,-148.486,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.632,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.01,0.475,0.923,-1.038,-0.793,-11.169,,,,,,,29.515,-7.141,-148.596,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.632,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.014,0.483,0.916,-0.671,0.671,-10.559,,,,,,,29.504,-7.092,-148.689,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.632,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.008,0.489,0.91,-1.221,3.906,-9.583,,,,,,,29.493,-7.02,-148.771,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.632,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.001,0.491,0.896,-2.869,5.798,-8.667,,,,,,,29.465,-6.938,-148.826,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.693,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.003,0.489,0.88,-4.944,7.202,-7.751,,,,,,,29.421,-6.839,-148.865,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.693,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.0,0.481,0.88,-6.287,9.155,-6.042,,,,,,,29.361,-6.735,-148.892,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.693,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.005,0.474,0.894,-6.226,10.559,-4.517,,,,,,,29.295,-6.625,-148.887,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.693,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.005,0.468,0.903,-5.371,10.803,-3.296,,,,,,,29.229,-6.509,-148.87,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.723,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.021,0.467,0.902,-4.395,7.996,-2.38,,,,,,,29.18,-6.416,-148.854,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.723,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.02,0.467,0.9,-2.93,2.441,-1.831,,,,,,,29.136,-6.361,-148.848,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.723,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.001,0.473,0.9,-2.136,-1.282,-1.343,,,,,,,29.108,-6.356,-148.859,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.723,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.013,0.48,0.899,-2.808,-0.854,-0.732,,,,,,,29.081,-6.361,-148.876,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.753,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.015,0.486,0.893,-4.456,0.0,-1.038,,,,,,,29.042,-6.361,-148.887,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.753,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.008,0.487,0.887,-6.348,0.122,-2.197,,,,,,,28.982,-6.356,-148.903,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.753,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.004,0.479,0.881,-7.568,-1.16,-3.54,,,,,,,28.905,-6.345,-148.931,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.753,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.017,0.469,0.876,-9.033,-2.747,-5.005,,,,,,,28.817,-6.356,-148.986,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.813,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.006,0.444,0.895,-7.935,3.54,-2.136,,,,,,,28.724,-6.328,-149.019,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.813,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.004,0.442,0.909,-5.676,-0.183,-3.235,,,,,,,28.652,-6.306,-149.035,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.813,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.013,0.448,0.922,-2.808,-2.136,-2.747,,,,,,,28.614,-6.306,-149.068,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.813,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.005,0.468,0.923,-2.563,-5.432,-3.784,,,,,,,28.581,-6.328,-149.117,-9.0,-31.4,-28.807,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.843,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.005,0.483,0.919,-4.15,-5.737,-4.517,,,,,,,28.542,-6.361,-149.183,-9.0,-29.3,-24.06,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.843,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.011,0.487,0.912,-6.287,-4.089,-5.676,,,,,,,28.488,-6.383,-149.249,-9.0,-29.3,-24.06,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.843,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.008,0.479,0.91,-7.629,-2.502,-6.47,,,,,,,28.411,-6.383,-149.321,-9.0,-29.3,-24.06,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.843,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.002,0.463,0.911,-7.324,-1.953,-6.531,,,,,,,28.334,-6.372,-149.392,-9.0,-29.3,-24.06,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.873,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.005,0.445,0.907,-5.92,-3.174,-6.409,,,,,,,28.262,-6.367,-149.458,-9.0,-29.3,-24.06,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.873,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.0,0.434,0.906,-3.967,-4.395,-6.104,,,,,,,28.207,-6.378,-149.535,-9.0,-29.3,-24.06,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.873,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.0,0.435,0.913,-2.502,-4.822,-5.066,,,,,,,28.174,-6.394,-149.606,-9.0,-29.3,-24.06,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.873,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,-0.001,0.45,0.917,-2.38,-5.554,-4.272,,,,,,,28.147,-6.422,-149.672,-9.0,-29.3,-24.06,30.96,0.27661,0.05408,-0.23352,-0.93054
13:14:57.933,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.002,0.469,0.914,-3.967,-7.019,-3.723,,,,,,,28.109,-6.46,-149.738,-9.0,-29.3,-24.06,30.96,0.25528,0.06058,-0.22696,-0.93784
13:14:57.933,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.006,0.477,0.91,-5.981,-8.057,-3.357,,,,,,,28.054,-6.515,-149.804,-9.0,-29.3,-24.06,30.96,0.25528,0.06058,-0.22696,-0.93784
13:14:57.933,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.015,0.477,0.902,-8.118,-9.46,-3.296,,,,,,,27.982,-6.575,-149.875,-9.0,-29.3,-24.06,30.96,0.25528,0.06058,-0.22696,-0.93784
13:14:57.933,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.628,0.024,0.472,0.896,-10.498,-9.888,-3.662,,,,,,,27.883,-6.652,-149.952,-9.0,-29.3,-24.06,30.96,0.25528,0.06058,-0.22696,-0.93784
13:14:57.963,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.988,0.034,0.466,0.895,-12.512,-9.338,-3.906,,,,,,,27.762,-6.724,-150.029,-9.0,-29.3,-24.06,30.96,0.25528,0.06058,-0.22696,-0.93784
13:14:57.963,d0:1c:1b:3a:ee:9d,2025-10-17 12:47:16.988,0.042,0.458,0.892,-14.099,-8.362,-4.639,,,,,,,27.625,-6.784,-150.112,-9.0,-29.3,-24.06,30.96,0.25528,0.06058,-0.22696,-0.93784
