Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:33:10.720,d0:1c:1b:3a:ee:9d, 2025-10-17 13:05:21.893, 0.077, 0.091, 1.022, 0.061, -1.404, 0, , , , , , , 5.554, -9.58, -159.055, -10.900, -24.800, -26.740, 30.59, 0.18237, -0.02167, -0.04483, -0.9819,
 13:33:10.720,d0:1c:1b:3a:ee:9d, 2025-10-17 13:05:21.893, 0.082, 0.092, 1.037, 0.916, -0.244, -0.244, , , , , , , 5.554, -9.586, -159.055, -10.900, -24.800, -26.740, 30.59, 0.18237, -0.02167, -0.04483, -0.9819,
 13:33:10.720,d0:1c:1b:3a:ee:9d, 2025-10-17 13:05:21.893, 0.082, 0.096, 1.044, 1.404, 1.099, -0.427, , , , , , , 5.559, -9.586, -159.06, -10.900, -24.800, -26.740, 30.59, 0.18237, -0.02167, -0.04483, -0.9819,
 13:33:10.720,d0:1c:1b:3a:ee:9d, 2025-10-17 13:05:21.893, 0.076, 0.098, 1.041, 1.648, 2.38, -0.732, , , , , , , 5.57, -9.569, -159.066, -10.900, -24.800, -26.740, 30.59, 0.18237, -0.02167, -0.04483, -0.9819,
 13:33:10.722,d0:1c:1b:3a:ee:9d, 2025-10-17 13:05:21.893, 0.065, 0.094, 1.031, 2.319, 2.991, -0.854, , , , , , , 5.581, -9.536, -159.077, -10.900, -24.800, -26.740, 30.59, 0.18237, -0.02167, -0.04483, -0.9819,
 13:33:10.722,d0:1c:1b:3a:ee:9d, 2025-10-17 13:05:21.893, 0.056, 0.092, 1.019, 2.563, 2.197, -0.916, , , , , , , 5.603, -9.514, -159.082, -10.900, -24.800, -26.740, 30.59, 0.18237, -0.02167, -0.04483, -0.9819,
 13:33:10.722,d0:1c:1b:3a:ee:9d, 2025-10-17 13:05:21.893, 0.052, 0.091, 1.007, 2.441, 0.305, -0.61, , , , , , , 5.62, -9.498, -159.093, -10.900, -24.800, -26.740, 30.59, 0.18237, -0.02167, -0.04483, -0.9819,
 13:33:10.722,d0:1c:1b:3a:ee:9d, 2025-10-17 13:05:21.893, 0.054, 0.092, 1, 2.014, -1.404, -0.183, , , , , , , 5.636, -9.509, -159.099, -10.900, -24.800, -26.740, 30.59, 0.18237, -0.02167, -0.04483, -0.9819,
 13:33:10.751,d0:1c:1b:3a:ee:9d, 2025-10-17 13:05:21.893, 0.061, 0.095, 0.998, 0.854, -2.136, -0.061, , , , , , , 5.647, -9.531, -159.104, -10.900, -24.800, -26.740, 30.59, 0.18237, -0.02167, -0.04483, -0.9819,
 13:33:10.751,d0:1c:1b:3a:ee:9d, 2025-10-17 13:05:21.893, 0.065, 0.095, 1.001, -0.305, -1.648, 0.061, , , , , , , 5.641, -9.553, -159.104, -10.900, -24.800, -26.740, 30.59, 0.18237, -0.02167, -0.04483, -0.9819,
