Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,1.26,0.285,0.925,-165.527,-72.388,-472.9,,,,,,,9.904,-21.808,-151.859,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,1.184,0.117,0.959,-188.66,-38.208,-529.907,,,,,,,9.52,-21.577,-157.132,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,0.96,-0.128,0.954,-209.29,-0.671,-553.589,,,,,,,8.965,-20.978,-162.762,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,0.682,-0.398,0.844,-214.844,11.963,-548.279,,,,,,,8.212,-20.143,-168.387,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,0.364,-0.536,0.675,-213.257,-7.019,-529.785,,,,,,,7.355,-19.484,-173.908,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,0.087,-0.546,0.555,-216.858,-31.86,-482.422,,,,,,,6.372,-19.177,-179.094,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.052,-0.517,0.602,-222.839,-45.41,-412.598,,,,,,,5.186,-19.215,176.309,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.167,-0.565,0.805,-218.506,-23.376,-324.707,,,,,,,3.818,-19.363,172.54,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.387,-0.665,1.043,-204.407,18.555,-233.337,,,,,,,2.329,-19.265,169.733,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.615,-0.748,1.228,-178.711,45.41,-144.287,,,,,,,0.835,-18.896,167.827,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.729,-0.811,1.285,-149.597,44.739,-74.219,,,,,,,-0.577,-18.452,166.745,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.773,-0.863,1.344,-108.093,31.494,-12.817,,,,,,,-1.774,-18.083,166.322,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.799,-0.868,1.423,-63.11,14.404,46.997,,,,,,,-2.648,-17.853,166.514,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.766,-0.862,1.478,-19.714,-2.686,105.225,,,,,,,-3.214,-17.754,167.316,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.765,-0.852,1.506,24.597,0.305,173.462,,,,,,,-3.461,-17.677,168.755,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.764,-0.844,1.495,66.589,21.667,263.916,,,,,,,-3.428,-17.391,170.997,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.741,-0.84,1.399,108.521,41.382,368.103,,,,,,,-3.153,-16.82,174.232,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.772,-0.852,1.239,151.794,40.466,465.149,,,,,,,-2.593,-16.1,178.484,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.819,-0.875,1.062,180.542,14.465,545.227,,,,,,,-1.758,-15.535,-176.353,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.721,-0.913,0.933,200.562,-48.279,601.318,,,,,,,-0.786,-15.469,-170.497,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,-0.382,-0.963,0.898,218.201,-111.145,639.832,,,,,,,0.264,-16.194,-164.158,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,0.149,-0.945,0.948,224.548,-125.854,653.137,,,,,,,1.269,-17.397,-157.527,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,0.635,-0.745,1.028,211.365,-71.533,620.483,,,,,,,2.126,-18.49,-151.029,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,0.878,-0.371,1.008,182.556,-21.851,572.083,,,,,,,2.763,-19.023,-144.948,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,0.989,0.066,0.805,133.484,-21.24,500.549,,,,,,,3.093,-19.407,-139.46,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,1.211,0.396,0.528,87.463,-53.711,385.925,,,,,,,3.109,-19.907,-134.934,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,1.606,0.549,0.353,52.185,-120.422,237.488,,,,,,,3.027,-20.923,-131.841,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
d0:1c:1b:3a:ee:9d,2015-01-01 01:38:30.560,2.037,0.423,0.37,30.762,-157.959,129.7,,,,,,,2.944,-22.44,-130.095,-13.2,-45.3,-25.18,30.47,0.39572,-0.09055,-0.13739,-0.90344,
