Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.175,0.155,0.992,0.977,-0.854,0.183,,,,,,,11.31,-14.963,-159.142,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.18,0.157,0.986,0.122,-0.427,-0.122,,,,,,,11.31,-14.969,-159.142,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.18,0.156,0.983,-0.549,0.977,0.0,,,,,,,11.305,-14.969,-159.148,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.172,0.154,0.986,-0.977,2.197,0.305,,,,,,,11.288,-14.952,-159.142,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.167,0.152,0.995,-0.488,1.282,0.244,,,,,,,11.277,-14.936,-159.137,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.168,0.152,1.003,-0.244,0.427,0.183,,,,,,,11.266,-14.93,-159.137,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.172,0.151,1.01,0.305,0.183,0.366,,,,,,,11.266,-14.93,-159.137,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.174,0.149,1.015,1.343,0.671,0.671,,,,,,,11.266,-14.93,-159.131,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.173,0.152,1.015,1.831,1.465,0.549,,,,,,,11.277,-14.919,-159.12,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.169,0.154,1.007,2.197,1.282,0.061,,,,,,,11.294,-14.908,-159.115,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.167,0.154,0.997,2.747,0.183,-0.732,,,,,,,11.316,-14.897,-159.12,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.168,0.157,0.989,2.38,-0.977,-1.038,,,,,,,11.343,-14.903,-159.131,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
d0:1c:1b:3a:ee:9d,2025-10-17 12:56:55.053,0.173,0.156,0.983,1.465,-1.892,-0.671,,,,,,,11.36,-14.919,-159.148,-12.5,-30.1,-30.113,29.55,-0.18628,0.05786,0.10187,0.97543,
