Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:32:00.730,d0:1c:1b:3a:ee:9d, 2025-10-17 13:04:12.308, 0.177, 0.125, 1.001, 0, 2.014, 0.916, , , , , , , 8.866, -16.732, -161.087, -10.400, -24.900, -32.147, 30.64, 0.1691, -0.0788, -0.08249, -0.97891,
 13:32:00.731,d0:1c:1b:3a:ee:9d, 2025-10-17 13:04:12.308, 0.174, 0.124, 0.997, -0.122, 1.953, 0.854, , , , , , , 8.86, -16.732, -161.082, -10.400, -24.900, -32.147, 30.64, 0.1691, -0.0788, -0.08249, -0.97891,
 13:32:00.731,d0:1c:1b:3a:ee:9d, 2025-10-17 13:04:12.308, 0.172, 0.122, 0.993, -0.244, 0.427, 0.244, , , , , , , 8.86, -16.732, -161.082, -10.400, -24.900, -32.147, 30.64, 0.1691, -0.0788, -0.08249, -0.97891,
 13:32:00.731,d0:1c:1b:3a:ee:9d, 2025-10-17 13:04:12.308, 0.174, 0.119, 0.996, 0.488, -1.282, -0.488, , , , , , , 8.855, -16.732, -161.082, -10.400, -24.900, -32.147, 30.64, 0.1691, -0.0788, -0.08249, -0.97891,
 13:32:00.791,d0:1c:1b:3a:ee:9d, 2025-10-17 13:04:12.308, 0.179, 0.118, 1.006, 1.526, -1.892, -0.61, , , , , , , 8.855, -16.732, -161.082, -11.800, -26.000, -28.827, 30.64, 0.1691, -0.0788, -0.08249, -0.97891,
 13:32:00.791,d0:1c:1b:3a:ee:9d, 2025-10-17 13:04:12.308, 0.184, 0.123, 1.017, 2.075, -1.831, -0.305, , , , , , , 8.855, -16.727, -161.082, -11.800, -26.000, -28.827, 30.64, 0.1691, -0.0788, -0.08249, -0.97891,
 13:32:00.791,d0:1c:1b:3a:ee:9d, 2025-10-17 13:04:12.308, 0.185, 0.126, 1.02, 2.136, -0.61, -0.061, , , , , , , 8.855, -16.727, -161.082, -11.800, -26.000, -28.827, 30.64, 0.1691, -0.0788, -0.08249, -0.97891,
 13:32:00.791,d0:1c:1b:3a:ee:9d, 2025-10-17 13:04:12.308, 0.182, 0.127, 1.015, 2.38, 0.977, -0.183, , , , , , , 8.849, -16.727, -161.082, -11.800, -26.000, -28.827, 30.64, 0.1691, -0.0788, -0.08249, -0.97891,
 13:32:00.821,d0:1c:1b:3a:ee:9d, 2025-10-17 13:04:12.308, 0.176, 0.129, 1.004, 1.953, 1.892, -0.244, , , , , , , 8.849, -16.727, -161.082, -11.800, -26.000, -28.827, 30.64, 0.1691, -0.0788, -0.08249, -0.97891,
 13:32:00.821,d0:1c:1b:3a:ee:9d, 2025-10-17 13:04:12.308, 0.17, 0.129, 0.99, 1.099, 2.014, 0, , , , , , , 8.849, -16.727, -161.082, -11.800, -26.000, -28.827, 30.64, 0.1691, -0.0788, -0.08249, -0.97891,
