Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:20:05.997,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.168, -0.409, 0.934, -83.862, -17.639, 0.732, , , , , , , -20.819, -13.546, -172.419, 1.600, -21.700, -28.520, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:05.999,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.179, -0.425, 0.93, -86.121, -15.259, 3.601, , , , , , , -21.693, -13.689, -172.337, 1.600, -21.700, -28.520, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.000,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.197, -0.436, 0.926, -87.769, -13.55, 5.676, , , , , , , -22.582, -13.804, -172.233, 1.600, -21.700, -28.520, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.000,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.219, -0.442, 0.928, -89.111, -9.888, 7.08, , , , , , , -23.489, -13.887, -172.123, 1.600, -21.700, -28.520, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.056,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.245, -0.448, 0.928, -89.905, -4.639, 7.507, , , , , , , -24.406, -13.92, -172.024, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.056,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.258, -0.454, 0.929, -90.942, 3.235, 7.69, , , , , , , -25.329, -13.892, -171.953, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.056,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.252, -0.457, 0.927, -92.529, 12.634, 7.08, , , , , , , -26.257, -13.788, -171.925, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.056,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.223, -0.463, 0.921, -94.055, 21.606, 5.615, , , , , , , -27.197, -13.601, -171.953, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.118,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.169, -0.479, 0.909, -94.299, 26.55, 4.578, , , , , , , -28.136, -13.359, -172.029, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.118,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.121, -0.496, 0.893, -92.896, 23.743, 3.235, , , , , , , -29.07, -13.118, -172.123, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.118,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.093, -0.512, 0.885, -89.905, 16.052, 0.977, , , , , , , -29.982, -12.936, -172.205, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.118,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.065, -0.533, 0.892, -84.717, 6.104, -1.77, , , , , , , -30.855, -12.849, -172.266, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.118,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.007, -0.574, 0.933, -70.496, -8.179, -1.953, , , , , , , -31.641, -12.87, -172.277, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.118,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, -0.043, -0.647, 1.03, -41.077, -31.555, 2.563, , , , , , , -32.217, -13.041, -172.167, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.118,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, -0.007, -0.767, 1.248, 15.015, -55.298, 12.512, , , , , , , -32.377, -13.381, -171.843, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.118,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.062, -0.891, 1.536, 91.064, -68.115, 20.142, , , , , , , -31.904, -13.821, -171.348, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.192, -1.024, 1.868, 194.763, -65.186, 23.376, , , , , , , -30.526, -14.271, -170.782, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.247, -1.159, 2.157, 318.97, -44.25, 5.676, , , , , , , -27.977, -14.667, -170.376, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.243, -1.304, 2.321, 457.092, -29.297, -8.789, , , , , , , -24.06, -14.985, -170.25, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.343, -1.396, 2.32, 591.553, -26.794, -27.954, , , , , , , -18.732, -15.326, -170.299, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.365, -1.358, 2.107, 691.895, 4.883, -51.453, , , , , , , -12.178, -15.546, -170.678, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.31, -1.222, 1.714, 757.812, 25.757, -61.768, , , , , , , -4.785, -15.452, -171.277, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.276, -1.049, 1.304, 800.537, 23.438, -79.834, , , , , , , 3.153, -15.216, -172.002, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.198, -0.881, 0.961, 814.819, 20.63, -108.215, , , , , , , 11.393, -14.903, -172.936, 1.200, -21.400, -29.900, 30.37, -0.03284, 0.07001, -0.15546, 0.98477,
 13:20:06.205,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.042, -0.738, 0.626, 800.781, 16.602, -134.888, , , , , , , 19.655, -14.403, -174.089, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.205,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, -0.1, -0.571, 0.195, 753.662, -5.188, -156.006, , , , , , , 27.603, -13.771, -175.435, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.205,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, -0.15, -0.377, -0.174, 689.087, -31.799, -162.109, , , , , , , 34.991, -13.14, -176.94, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.205,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, -0.058, -0.12, -0.511, 587.708, -47.119, -149.048, , , , , , , 41.523, -12.519, -178.451, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.237,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.059, 0.195, -0.735, 456.299, -28.32, -108.826, , , , , , , 46.807, -11.931, -179.67, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.237,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, 0.04, 0.545, -0.776, 317.2, -12.146, -59.937, , , , , , , 50.658, -11.442, 179.632, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.237,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, -0.079, 0.734, -0.693, 194.702, 7.812, -11.23, , , , , , , 53.146, -11.195, 179.418, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.237,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:40.770, -0.151, 0.729, -0.563, 105.53, -3.357, 31.006, , , , , , , 54.553, -11.272, 179.533, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.295,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, -0.115, 0.711, -0.328, 49.805, -29.541, 57.19, , , , , , , 55.256, -11.761, 179.659, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.295,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, -0.017, 0.775, 0.012, 24.658, -50.293, 66.772, , , , , , , 55.585, -12.519, 179.692, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.295,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.096, 0.884, 0.36, 21.606, -62.134, 69.092, , , , , , , 55.8, -13.414, 179.61, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.295,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.215, 0.972, 0.613, 29.846, -66.528, 64.27, , , , , , , 56.069, -14.337, 179.467, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.327,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.312, 0.977, 0.718, 40.283, -60.364, 51.147, , , , , , , 56.453, -15.178, 179.258, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.327,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.36, 0.899, 0.688, 44.434, -46.448, 35.767, , , , , , , 56.909, -15.82, 179.066, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.327,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.379, 0.864, 0.609, 40.71, -34.485, 23.071, , , , , , , 57.36, -16.282, 178.885, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.327,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.341, 0.891, 0.519, 28.992, -21.912, 12.085, , , , , , , 57.728, -16.578, 178.748, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.385,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.275, 0.925, 0.435, 12.756, -13, 4.395, , , , , , , 57.942, -16.732, 178.649, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.385,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.23, 0.941, 0.361, -5.493, -12.573, -1.526, , , , , , , 57.98, -16.809, 178.544, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.385,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.208, 0.954, 0.295, -28.503, -10.864, -4.822, , , , , , , 57.821, -16.842, 178.423, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.385,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.183, 0.987, 0.2, -63.904, -4.333, -6.714, , , , , , , 57.365, -16.837, 178.319, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.415,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.155, 1.042, 0.083, -115.295, 6.531, -6.714, , , , , , , 56.453, -16.771, 178.292, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.415,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.147, 1.079, -0.022, -177.917, 19.043, -4.761, , , , , , , 54.943, -16.65, 178.363, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.415,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.142, 1.084, -0.116, -251.038, 35.706, -1.16, , , , , , , 52.723, -16.458, 178.572, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.415,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.097, 1.052, -0.22, -335.693, 53.833, 4.7, , , , , , , 49.686, -16.177, 178.94, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.445,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, 0.051, 0.923, -0.347, -434.021, 66.956, 17.395, , , , , , , 45.72, -15.837, 179.467, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.445,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, -0.003, 0.72, -0.468, -527.039, 72.449, 30.029, , , , , , , 40.759, -15.485, -179.868, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.445,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, -0.103, 0.475, -0.577, -623.535, 75.134, 42.603, , , , , , , 34.832, -15.106, -179.116, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.445,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, -0.208, 0.179, -0.67, -717.529, 60.364, 56.763, , , , , , , 27.955, -14.771, -178.325, 1.200, -21.400, -29.900, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
 13:20:06.475,d0:1c:1b:3a:ee:9d, 2015-01-01 01:24:41.305, -0.281, -0.221, -0.694, -802.246, 34.424, 76.172, , , , , , , 20.171, -14.606, -177.517, 0.500, -39.400, -23.167, 30.37, -0.06796, 0.09235, -0.18805, 0.9754,
