Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:31:03.754,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.084, -0.049, 1.114, -0.183, -29.358, -27.588, , , , , , , -1.252, -7.41, -106.051, -56.900, -14.800, -25.640, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.757,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.111, -0.055, 1.067, 1.526, -32.532, -33.203, , , , , , , -1.247, -7.74, -106.348, -56.900, -14.800, -25.640, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.757,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.125, -0.066, 1.036, 4.944, -29.846, -37.17, , , , , , , -1.208, -8.069, -106.694, -56.900, -14.800, -25.640, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.757,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.125, -0.064, 1.021, 6.409, -24.231, -40.283, , , , , , , -1.143, -8.355, -107.073, -56.900, -14.800, -25.640, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.757,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.124, -0.058, 1.014, 6.958, -19.958, -43.762, , , , , , , -1.066, -8.591, -107.49, -56.900, -14.800, -25.640, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.758,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.119, -0.054, 1.009, 6.653, -13.977, -45.959, , , , , , , -0.983, -8.778, -107.935, -56.900, -14.800, -25.640, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.758,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.11, -0.052, 1.008, 5.249, -8.789, -46.509, , , , , , , -0.912, -8.904, -108.397, -56.900, -14.800, -25.640, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.758,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.094, -0.053, 1.011, 4.395, -0.977, -45.532, , , , , , , -0.846, -8.97, -108.858, -56.900, -14.800, -25.640, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.813,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.079, -0.055, 1.018, 4.944, 4.944, -45.044, , , , , , , -0.786, -8.959, -109.308, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.813,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.06, -0.057, 1.029, 6.226, 8.606, -46.082, , , , , , , -0.714, -8.904, -109.77, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.813,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.042, -0.052, 1.034, 6.775, 9.155, -46.997, , , , , , , -0.632, -8.833, -110.237, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.814,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.029, -0.046, 1.036, 6.775, 8.606, -47.241, , , , , , , -0.555, -8.756, -110.715, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.905,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.016, -0.047, 1.037, 8.24, 8.667, -46.387, , , , , , , -0.461, -8.685, -111.187, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.905,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.007, -0.047, 1.035, 9.644, 6.897, -46.448, , , , , , , -0.357, -8.619, -111.654, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.905,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.013, -0.041, 1.027, 9.094, 1.648, -48.218, , , , , , , -0.253, -8.591, -112.126, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.906,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.031, -0.029, 1.013, 6.592, -3.235, -49.683, , , , , , , -0.159, -8.613, -112.621, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.906,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.053, -0.025, 1.001, 3.052, -5.737, -50.964, , , , , , , -0.099, -8.679, -113.126, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.906,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.069, -0.036, 0.994, 0.549, -4.15, -50.842, , , , , , , -0.066, -8.74, -113.637, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.906,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.068, -0.046, 0.983, -0.854, -0.305, -49.927, , , , , , , -0.055, -8.773, -114.142, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.906,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.063, -0.047, 0.979, -2.075, 2.014, -50.293, , , , , , , -0.055, -8.773, -114.642, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
 14:31:03.906,d0:1c:1b:3a:ee:9d, 2025-10-17 14:02:50.293, 0.061, -0.042, 0.985, -3.235, 4.089, -51.025, , , , , , , -0.066, -8.756, -115.153, -56.700, -12.500, -22.873, 28.15, 0.59454, 0.02951, -0.02686, -0.80301,
