Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:00:19.024,d0:1c:1b:3a:ee:9d, 2015-01-01 01:58:50.545, 0.079, 0.1, 1.037, 9.338, -6.531, 6.958, , , , , , , 7.031, -7.641, -168.794, -2.000, -46.300, -31.453, 31.07, -0.09906, 0.02316, 0.05136, 0.99344,
 14:00:19.024,d0:1c:1b:3a:ee:9d, 2015-01-01 01:58:50.545, 0.084, 0.113, 1.024, 8.484, -6.226, 5.371, , , , , , , 7.114, -7.712, -168.739, -2.000, -46.300, -31.453, 31.07, -0.09906, 0.02316, 0.05136, 0.99344,
 14:00:19.024,d0:1c:1b:3a:ee:9d, 2015-01-01 01:58:50.545, 0.076, 0.121, 1.009, 7.812, -4.761, 4.639, , , , , , , 7.185, -7.767, -168.695, -2.000, -46.300, -31.453, 31.07, -0.09906, 0.02316, 0.05136, 0.99344,
 14:00:19.024,d0:1c:1b:3a:ee:9d, 2015-01-01 01:58:50.545, 0.073, 0.13, 0.993, 6.836, -6.714, 2.747, , , , , , , 7.251, -7.833, -168.662, -2.000, -46.300, -31.453, 31.07, -0.09906, 0.02316, 0.05136, 0.99344,
 14:00:19.055,d0:1c:1b:3a:ee:9d, 2015-01-01 01:58:50.545, 0.074, 0.143, 0.983, 5.371, -7.568, 1.282, , , , , , , 7.306, -7.905, -168.651, -2.000, -46.300, -31.453, 31.07, -0.09906, 0.02316, 0.05136, 0.99344,
 14:00:19.055,d0:1c:1b:3a:ee:9d, 2015-01-01 01:58:50.545, 0.069, 0.146, 0.976, 3.479, -6.836, 0, , , , , , , 7.344, -7.982, -168.651, -2.000, -46.300, -31.453, 31.07, -0.09906, 0.02316, 0.05136, 0.99344,
 14:00:19.055,d0:1c:1b:3a:ee:9d, 2015-01-01 01:58:50.545, 0.056, 0.154, 0.975, 0.61, -6.165, -0.732, , , , , , , 7.361, -8.042, -168.668, -2.000, -46.300, -31.453, 31.07, -0.09906, 0.02316, 0.05136, 0.99344,
 14:00:19.055,d0:1c:1b:3a:ee:9d, 2015-01-01 01:58:50.545, 0.036, 0.162, 0.978, -1.831, -6.104, -1.892, , , , , , , 7.344, -8.102, -168.684, -2.000, -46.300, -31.453, 31.07, -0.09906, 0.02316, 0.05136, 0.99344,
 14:00:19.084,d0:1c:1b:3a:ee:9d, 2015-01-01 01:58:50.545, 0.025, 0.153, 0.983, -2.441, -7.263, -4.15, , , , , , , 7.317, -8.168, -168.723, 0.800, -47.200, -34.913, 31.07, -0.09906, 0.02316, 0.05136, 0.99344,
 14:00:19.084,d0:1c:1b:3a:ee:9d, 2015-01-01 01:58:50.545, 0.03, 0.136, 0.997, -2.441, -7.324, -5.981, , , , , , , 7.284, -8.234, -168.783, 0.800, -47.200, -34.913, 31.07, -0.09906, 0.02316, 0.05136, 0.99344,
