Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:07:30.569,d0:1c:1b:3a:ee:9d, 2025-10-17 12:39:52.403, 0.026, -0.015, 1.01, -5.92, -10.132, -30.029, , , , , , , -0.049, -7.696, -154.748, -7.500, -25.400, -23.180, 31.04, 0.22485, -0.01208, 0.00571, -0.97424,
 13:07:30.571,d0:1c:1b:3a:ee:9d, 2025-10-17 12:39:52.403, 0.032, -0.008, 1.014, -6.531, -13.916, -32.471, , , , , , , -0.104, -7.822, -155.056, -7.500, -25.400, -23.180, 31.04, 0.22485, -0.01208, 0.00571, -0.97424,
 13:07:30.571,d0:1c:1b:3a:ee:9d, 2025-10-17 12:39:52.403, 0.062, -0.003, 1.022, -6.409, -19.775, -38.879, , , , , , , -0.165, -8.004, -155.413, -7.500, -25.400, -23.180, 31.04, 0.22485, -0.01208, 0.00571, -0.97424,
 13:07:30.571,d0:1c:1b:3a:ee:9d, 2025-10-17 12:39:52.403, 0.092, -0.011, 1.042, -3.845, -21.179, -46.57, , , , , , , -0.209, -8.229, -155.841, -7.500, -25.400, -23.180, 31.04, 0.22485, -0.01208, 0.00571, -0.97424,
 13:07:30.598,d0:1c:1b:3a:ee:9d, 2025-10-17 12:39:52.788, 0.099, -0.02, 1.058, -1.77, -16.357, -49.316, , , , , , , -0.22, -8.427, -156.324, -7.500, -25.400, -23.180, 31.04, 0.22485, -0.01208, 0.00571, -0.97424,
 13:07:30.598,d0:1c:1b:3a:ee:9d, 2025-10-17 12:39:52.788, 0.093, -0.023, 1.061, -0.305, -8.423, -48.767, , , , , , , -0.214, -8.564, -156.813, -7.500, -25.400, -23.180, 31.04, 0.22485, -0.01208, 0.00571, -0.97424,
 13:07:30.598,d0:1c:1b:3a:ee:9d, 2025-10-17 12:39:52.788, 0.077, -0.022, 1.054, -0.549, 1.099, -45.288, , , , , , , -0.203, -8.608, -157.286, -7.500, -25.400, -23.180, 31.04, 0.22485, -0.01208, 0.00571, -0.97424,
 13:07:30.598,d0:1c:1b:3a:ee:9d, 2025-10-17 12:39:52.788, 0.053, -0.022, 1.039, -1.648, 9.705, -39.734, , , , , , , -0.203, -8.553, -157.709, -7.500, -25.400, -23.180, 31.04, 0.22485, -0.01208, 0.00571, -0.97424,
 13:07:30.629,d0:1c:1b:3a:ee:9d, 2025-10-17 12:39:52.788, 0.028, -0.025, 1.019, -2.808, 14.648, -34.302, , , , , , , -0.214, -8.438, -158.082, -7.500, -25.400, -23.180, 31.04, 0.22485, -0.01208, 0.00571, -0.97424,
 13:07:30.629,d0:1c:1b:3a:ee:9d, 2025-10-17 12:39:52.788, 0.005, -0.025, 1, -4.517, 16.541, -29.48, , , , , , , -0.242, -8.289, -158.401, -7.500, -25.400, -23.180, 31.04, 0.22485, -0.01208, 0.00571, -0.97424,
