Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:26:50.048,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:03.618, 0.206, 0.275, 0.939, -2.991, 0.977, -2.136, , , , , , , 17.682, -18.127, -175.974, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.049,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:03.618, 0.205, 0.262, 0.942, -2.869, 2.38, -2.136, , , , , , , 17.65, -18.105, -175.995, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.049,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:03.618, 0.199, 0.26, 0.955, -2.869, 3.906, -0.793, , , , , , , 17.617, -18.067, -176.001, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.049,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:03.618, 0.194, 0.269, 0.965, -2.93, 3.662, 0.305, , , , , , , 17.578, -18.029, -175.99, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.050,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:03.618, 0.191, 0.272, 0.972, -2.686, 2.502, 0.916, , , , , , , 17.54, -18.007, -175.974, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.050,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:03.618, 0.193, 0.27, 0.977, -1.953, 1.587, 1.709, , , , , , , 17.507, -17.99, -175.957, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.050,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:03.618, 0.193, 0.263, 0.979, -0.366, 0.427, 2.38, , , , , , , 17.485, -17.99, -175.935, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.050,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:03.618, 0.197, 0.261, 0.979, 1.465, -0.916, 2.319, , , , , , , 17.479, -18.001, -175.913, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.078,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.202, 0.267, 0.976, 2.502, -2.38, 1.038, , , , , , , 17.496, -18.023, -175.897, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.078,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.208, 0.275, 0.973, 2.747, -3.174, -1.099, , , , , , , 17.518, -18.051, -175.908, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.078,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.211, 0.281, 0.97, 2.014, -2.869, -2.502, , , , , , , 17.54, -18.078, -175.941, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.078,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.207, 0.276, 0.972, 2.014, -1.221, -2.258, , , , , , , 17.562, -18.089, -175.968, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.137,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.196, 0.273, 0.973, 2.075, 0.427, -1.465, , , , , , , 17.584, -18.089, -175.99, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.137,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.191, 0.275, 0.97, 2.197, 0.854, -1.343, , , , , , , 17.6, -18.078, -176.001, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.137,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.19, 0.276, 0.963, 2.197, 0.61, -1.282, , , , , , , 17.617, -18.067, -176.012, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.137,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.192, 0.274, 0.954, 1.648, 0.244, -0.732, , , , , , , 17.633, -18.062, -176.023, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.167,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.193, 0.267, 0.953, 2.075, 0, 0, , , , , , , 17.644, -18.062, -176.028, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.167,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.193, 0.265, 0.959, 2.747, 0.183, 0.61, , , , , , , 17.666, -18.062, -176.023, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.167,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.194, 0.274, 0.961, 2.136, 0.488, 0.427, , , , , , , 17.682, -18.062, -176.017, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.167,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.192, 0.282, 0.959, 0.854, 0.427, 0.427, , , , , , , 17.688, -18.056, -176.012, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.228,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.19, 0.281, 0.955, -0.122, 0, 0.977, , , , , , , 17.688, -18.056, -176.006, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.228,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.19, 0.278, 0.953, -1.404, -0.366, 1.709, , , , , , , 17.666, -18.067, -175.99, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.228,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.194, 0.274, 0.951, -2.686, -0.366, 2.197, , , , , , , 17.639, -18.078, -175.974, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.228,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.198, 0.27, 0.954, -2.808, 0.671, 2.441, , , , , , , 17.595, -18.083, -175.952, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.288,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.199, 0.267, 0.958, -3.418, 1.16, 2.441, , , , , , , 17.556, -18.078, -175.924, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.288,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.202, 0.265, 0.965, -2.563, 0.793, 1.77, , , , , , , 17.512, -18.078, -175.902, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.288,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.203, 0.268, 0.979, -0.488, -0.244, 0.366, , , , , , , 17.49, -18.078, -175.891, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.288,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.208, 0.275, 0.991, 1.099, -1.892, -0.671, , , , , , , 17.485, -18.089, -175.897, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.288,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.211, 0.277, 1, 2.563, -1.526, -0.366, , , , , , , 17.501, -18.105, -175.908, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.288,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.208, 0.274, 0.999, 3.845, -0.244, 0.183, , , , , , , 17.529, -18.116, -175.913, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.288,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.201, 0.273, 0.986, 4.395, 0.427, 0.488, , , , , , , 17.567, -18.116, -175.908, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.288,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.198, 0.279, 0.965, 3.601, 0.305, 0.183, , , , , , , 17.6, -18.111, -175.902, -13.600, -30.100, -33.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.318,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.196, 0.281, 0.943, 1.953, 0.122, -0.061, , , , , , , 17.622, -18.111, -175.902, -11.900, -30.100, -31.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.318,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.195, 0.278, 0.927, -0.183, 0.183, 0, , , , , , , 17.622, -18.111, -175.902, -11.900, -30.100, -31.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
 13:26:50.318,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:04.033, 0.194, 0.275, 0.918, -2.808, 0.488, 0.061, , , , , , , 17.6, -18.111, -175.902, -11.900, -30.100, -31.313, 30.17, 0.0488, -0.09555, -0.14688, -0.98328,
