Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:47:50.536,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.191, 0.245, 0.969, -0.122, -0.549, 0.61, , , , , , , 15.287, -17.693, 160.664, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.536,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.195, 0.245, 0.973, 0, -0.977, 0.61, , , , , , , 15.287, -17.693, 160.664, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.536,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.2, 0.246, 0.977, 0.305, -0.916, 0.244, , , , , , , 15.287, -17.693, 160.664, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.537,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.203, 0.248, 0.981, 0.732, -0.122, -0.061, , , , , , , 15.287, -17.688, 160.664, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.566,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.202, 0.25, 0.982, 0.793, 0.854, -0.183, , , , , , , 15.287, -17.688, 160.67, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.566,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.196, 0.25, 0.979, 0.854, 1.648, -0.183, , , , , , , 15.287, -17.688, 160.67, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.566,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.191, 0.25, 0.975, 0.916, 1.221, -0.061, , , , , , , 15.287, -17.688, 160.67, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.566,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.191, 0.249, 0.971, 0.671, 0.366, 0.061, , , , , , , 15.282, -17.682, 160.67, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.595,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.195, 0.247, 0.969, 0.61, 0, 0.061, , , , , , , 15.282, -17.688, 160.675, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.595,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.194, 0.246, 0.968, 0.61, 0.427, 0.061, , , , , , , 15.282, -17.682, 160.675, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.595,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.191, 0.246, 0.969, 0.61, 0.366, 0, , , , , , , 15.282, -17.682, 160.675, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.595,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.191, 0.247, 0.971, 0.732, 0.122, -0.061, , , , , , , 15.282, -17.682, 160.675, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.656,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.193, 0.249, 0.973, 0.671, 0.244, 0, , , , , , , 15.282, -17.682, 160.681, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.656,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.195, 0.251, 0.974, 0.305, 0.61, 0, , , , , , , 15.282, -17.677, 160.681, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.656,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.194, 0.251, 0.974, 0.061, 0.977, 0, , , , , , , 15.282, -17.682, 160.686, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.656,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.19, 0.249, 0.972, -0.061, 0.916, 0.122, , , , , , , 15.282, -17.677, 160.681, -11.700, -29.400, -29.267, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.685,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.19, 0.246, 0.971, 0.183, 0, 0.244, , , , , , , 15.282, -17.677, 160.686, -11.600, -25.700, -29.607, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.685,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.192, 0.244, 0.972, 0.427, -0.732, 0.366, , , , , , , 15.282, -17.677, 160.686, -11.600, -25.700, -29.607, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.685,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.197, 0.246, 0.975, 0.671, -0.793, 0.244, , , , , , , 15.282, -17.677, 160.692, -11.600, -25.700, -29.607, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.685,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.2, 0.248, 0.978, 1.038, -0.549, 0, , , , , , , 15.282, -17.672, 160.686, -11.600, -25.700, -29.607, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.716,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.199, 0.25, 0.979, 0.977, 0.305, -0.366, , , , , , , 15.282, -17.677, 160.692, -11.600, -25.700, -29.607, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.716,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.193, 0.251, 0.976, 0.793, 1.526, -0.488, , , , , , , 15.282, -17.672, 160.692, -11.600, -25.700, -29.607, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.716,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.186, 0.25, 0.971, 0.427, 1.892, -0.427, , , , , , , 15.282, -17.672, 160.697, -11.600, -25.700, -29.607, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.716,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.181, 0.248, 0.965, 0.183, 1.16, 0, , , , , , , 15.282, -17.672, 160.692, -11.600, -25.700, -29.607, 30.5, -0.15378, -0.11841, -0.10519, -0.97528,
 13:47:50.776,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.183, 0.245, 0.963, 0, -0.488, 0.549, , , , , , , 15.282, -17.672, 160.697, -11.600, -25.700, -29.607, 30.5, -0.15332, -0.11801, -0.10526, -0.97537,
 13:47:50.776,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.191, 0.243, 0.966, 0.244, -1.77, 0.854, , , , , , , 15.282, -17.666, 160.697, -11.600, -25.700, -29.607, 30.5, -0.15332, -0.11801, -0.10526, -0.97537,
 13:47:50.776,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.2, 0.245, 0.974, 0.61, -2.38, 0.61, , , , , , , 15.282, -17.666, 160.697, -11.600, -25.700, -29.607, 30.5, -0.15332, -0.11801, -0.10526, -0.97537,
 13:47:50.776,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.483, 0.205, 0.248, 0.98, 0.549, -1.343, 0.305, , , , , , , 15.282, -17.666, 160.697, -11.600, -25.700, -29.607, 30.5, -0.15332, -0.11801, -0.10526, -0.97537,
 13:47:50.805,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.873, 0.204, 0.25, 0.984, 0.793, 0.061, -0.122, , , , , , , 15.282, -17.666, 160.703, -11.600, -25.700, -29.607, 30.5, -0.15332, -0.11801, -0.10526, -0.97537,
 13:47:50.805,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.873, 0.198, 0.249, 0.983, 0.793, 1.343, -0.488, , , , , , , 15.282, -17.666, 160.703, -11.600, -25.700, -29.607, 30.5, -0.15332, -0.11801, -0.10526, -0.97537,
 13:47:50.805,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.873, 0.19, 0.247, 0.979, 1.099, 2.014, -0.671, , , , , , , 15.282, -17.666, 160.703, -11.600, -25.700, -29.607, 30.5, -0.15332, -0.11801, -0.10526, -0.97537,
 13:47:50.805,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.873, 0.183, 0.246, 0.974, 1.16, 1.831, -0.488, , , , , , , 15.282, -17.661, 160.703, -11.600, -25.700, -29.607, 30.5, -0.15332, -0.11801, -0.10526, -0.97537,
 13:47:50.834,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.873, 0.182, 0.247, 0.967, 0.732, 0.793, -0.061, , , , , , , 15.282, -17.661, 160.708, -11.600, -25.700, -29.607, 30.5, -0.15332, -0.11801, -0.10526, -0.97537,
 13:47:50.834,d0:1c:1b:3a:ee:9d, 2025-10-17 13:19:55.873, 0.185, 0.247, 0.966, 0.793, -0.305, 0.427, , , , , , , 15.282, -17.661, 160.708, -11.600, -25.700, -29.607, 30.5, -0.15332, -0.11801, -0.10526, -0.97537,
