Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:34:31.630,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.043, -0.048, 1.05, 83.008, -16.052, -6.348, , , , , , , -0.516, -8.015, -159.318, -8.200, -20.600, -30.647, 30.61, 0.18518, -0.02179, 0.07648, -0.97943,
 13:34:31.631,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.057, -0.017, 1.019, 78.918, -12.085, -5.737, , , , , , , 0.286, -8.157, -159.373, -8.200, -20.600, -30.647, 30.61, 0.18518, -0.02179, 0.07648, -0.97943,
 13:34:31.631,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.062, -0.003, 0.981, 73.486, -7.69, -5.554, , , , , , , 1.038, -8.256, -159.434, -8.200, -20.600, -30.647, 30.61, 0.18518, -0.02179, 0.07648, -0.97943,
 13:34:31.631,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.054, -0.002, 0.938, 69.58, -1.343, -6.226, , , , , , , 1.741, -8.3, -159.494, -8.200, -20.600, -30.647, 30.61, 0.18518, -0.02179, 0.07648, -0.97943,
 13:34:31.631,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.038, 0.002, 0.906, 63.843, 0.61, -6.348, , , , , , , 2.406, -8.3, -159.565, -8.200, -20.600, -30.647, 30.61, 0.18518, -0.02179, 0.07648, -0.97943,
 13:34:31.631,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, -0.001, 0.014, 0.901, 59.937, 2.441, -6.47, , , , , , , 3.016, -8.278, -159.631, -8.200, -20.600, -30.647, 30.61, 0.18518, -0.02179, 0.07648, -0.97943,
 13:34:31.632,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, -0.021, 0.038, 0.92, 57.19, -2.686, -6.165, , , , , , , 3.593, -8.278, -159.686, -8.200, -20.600, -30.647, 30.61, 0.18518, -0.02179, 0.07648, -0.97943,
 13:34:31.632,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, -0.004, 0.073, 0.965, 52.185, -8.301, -5.249, , , , , , , 4.136, -8.333, -159.752, -8.200, -20.600, -30.647, 30.61, 0.18518, -0.02179, 0.07648, -0.97943,
 13:34:31.660,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.025, 0.104, 0.997, 44.739, -14.526, -4.089, , , , , , , 4.614, -8.448, -159.796, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.660,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.052, 0.115, 0.993, 38.025, -15.991, -3.296, , , , , , , 5.021, -8.602, -159.846, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.660,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.069, 0.116, 0.966, 31.128, -13.367, -2.808, , , , , , , 5.356, -8.751, -159.879, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.660,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.079, 0.113, 0.934, 22.522, -10.01, -1.648, , , , , , , 5.62, -8.866, -159.906, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.751,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.064, 0.099, 0.903, 16.418, -4.639, -3.052, , , , , , , 5.795, -8.932, -159.939, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.751,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.048, 0.088, 0.896, 12.39, -2.686, -3.113, , , , , , , 5.938, -8.965, -159.977, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.751,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.041, 0.095, 0.93, 6.226, -2.625, -2.38, , , , , , , 6.021, -8.992, -159.999, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.751,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.025, 0.098, 0.978, 3.967, -1.343, -1.892, , , , , , , 6.059, -9.009, -160.027, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.751,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.019, 0.095, 1.032, 5.493, -2.93, -0.977, , , , , , , 6.097, -9.031, -160.049, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.751,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.027, 0.097, 1.08, 7.202, -4.7, 0.122, , , , , , , 6.158, -9.069, -160.06, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.751,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.04, 0.102, 1.086, 8.484, -6.226, 1.404, , , , , , , 6.229, -9.124, -160.054, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.751,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:41.993, 0.051, 0.098, 1.07, 9.766, -7.263, 2.136, , , , , , , 6.317, -9.201, -160.043, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.780,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.061, 0.09, 1.042, 10.559, -7.507, 2.136, , , , , , , 6.411, -9.278, -160.021, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.780,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.064, 0.089, 1.026, 7.69, -7.263, 0.732, , , , , , , 6.498, -9.355, -160.016, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.780,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.06, 0.08, 1.015, 15.198, -5.554, -0.793, , , , , , , 6.597, -9.415, -160.016, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.780,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.056, 0.08, 1.027, 19.775, -3.723, -0.977, , , , , , , 6.773, -9.459, -160.032, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.842,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.054, 0.106, 1.039, 18.494, -1.892, -0.244, , , , , , , 6.965, -9.487, -160.038, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.842,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.053, 0.13, 1.026, 14.893, -0.671, 1.038, , , , , , , 7.119, -9.503, -160.038, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.842,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.05, 0.135, 1, 11.475, -0.549, 2.136, , , , , , , 7.245, -9.509, -160.016, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.842,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.037, 0.126, 0.974, 8.85, -1.465, 2.502, , , , , , , 7.333, -9.52, -159.994, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.872,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.03, 0.115, 0.957, 7.446, -4.578, 2.319, , , , , , , 7.405, -9.558, -159.966, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.872,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.042, 0.11, 0.953, 4.761, -8.301, 2.075, , , , , , , 7.46, -9.624, -159.955, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.872,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.062, 0.105, 0.968, 4.272, -8.667, 2.014, , , , , , , 7.493, -9.717, -159.944, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.872,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.073, 0.105, 1.006, 5.066, -6.47, 2.869, , , , , , , 7.531, -9.8, -159.928, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.902,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.078, 0.116, 1.039, 5.493, -2.991, 3.357, , , , , , , 7.575, -9.849, -159.89, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.902,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.077, 0.124, 1.057, 6.165, 0, 3.418, , , , , , , 7.625, -9.866, -159.857, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.903,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.067, 0.124, 1.05, 6.958, 2.075, 3.845, , , , , , , 7.679, -9.86, -159.818, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.903,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.059, 0.12, 1.029, 7.751, 2.014, 4.456, , , , , , , 7.745, -9.844, -159.774, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.961,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.052, 0.12, 1.006, 7.446, 0.305, 4.578, , , , , , , 7.811, -9.838, -159.747, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.961,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.052, 0.124, 0.983, 5.737, -2.563, 4.517, , , , , , , 7.872, -9.855, -159.703, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.961,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.062, 0.126, 0.973, 2.747, -5.676, 4.028, , , , , , , 7.899, -9.904, -159.659, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.961,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.069, 0.113, 0.984, 3.357, -6.531, 3.479, , , , , , , 7.921, -9.976, -159.631, -8.200, -20.600, -30.647, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
 13:34:31.991,d0:1c:1b:3a:ee:9d, 2025-10-17 13:06:42.443, 0.072, 0.107, 1.013, 5.737, -6.165, 2.991, , , , , , , 7.96, -10.042, -159.604, -10.000, -24.800, -30.740, 30.61, 0.17883, -0.01746, 0.0033, -0.98367,
