Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:12:58.406,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.164, -0.054, 0.985, -41.26, 17.334, 32.593, , , , , , , -2.093, -16.408, -160.411, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.406,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.178, -0.059, 0.992, -43.335, 16.968, 32.288, , , , , , , -2.576, -16.221, -160.093, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.406,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.192, -0.062, 0.997, -45.959, 20.264, 31.799, , , , , , , -3.082, -16.018, -159.785, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.406,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.192, -0.068, 0.988, -50.415, 27.222, 31.25, , , , , , , -3.625, -15.754, -159.483, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.435,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.178, -0.079, 0.968, -55.42, 31.982, 30.212, , , , , , , -4.208, -15.43, -159.197, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.435,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.166, -0.086, 0.953, -60.974, 32.593, 28.564, , , , , , , -4.839, -15.079, -158.934, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.435,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.167, -0.092, 0.942, -68.115, 31.372, 26.062, , , , , , , -5.532, -14.733, -158.698, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.435,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.174, -0.097, 0.938, -75.134, 31.189, 24.17, , , , , , , -6.29, -14.398, -158.483, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.464,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.18, -0.103, 0.935, -83.313, 33.813, 22.217, , , , , , , -7.114, -14.046, -158.297, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.464,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.18, -0.107, 0.917, -93.445, 38.452, 19.409, , , , , , , -8.031, -13.656, -158.148, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.464,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.169, -0.116, 0.883, -106.384, 44.006, 15.442, , , , , , , -9.053, -13.222, -158.044, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.464,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.155, -0.131, 0.836, -121.826, 46.021, 10.193, , , , , , , -10.212, -12.75, -158.005, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.526,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.145, -0.155, 0.782, -139.404, 43.579, 4.089, , , , , , , -11.53, -12.299, -158.033, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.526,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.144, -0.181, 0.756, -156.86, 41.199, -1.953, , , , , , , -13.019, -11.887, -158.121, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.526,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.144, -0.208, 0.759, -174.133, 42.053, -8.728, , , , , , , -14.672, -11.503, -158.286, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.526,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.13, -0.245, 0.759, -191.101, 41.87, -15.625, , , , , , , -16.49, -11.135, -158.527, -13.100, -27.700, -30.747, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.556,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.117, -0.293, 0.742, -208.252, 38.147, -18.86, , , , , , , -18.479, -10.811, -158.824, -10.700, -25.300, -30.773, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.556,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.132, -0.359, 0.733, -226.868, 36.316, -17.456, , , , , , , -20.643, -10.541, -159.12, -10.700, -25.300, -30.773, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.556,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.126, -0.421, 0.761, -240.051, 46.875, -17.944, , , , , , , -22.972, -10.228, -159.45, -10.700, -25.300, -30.773, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.556,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.088, -0.481, 0.771, -252.014, 60.486, -17.639, , , , , , , -25.417, -9.811, -159.846, -10.700, -25.300, -30.773, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.615,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.058, -0.546, 0.735, -262.634, 62.134, -17.639, , , , , , , -27.977, -9.344, -160.291, -10.700, -25.300, -30.773, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.615,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.037, -0.613, 0.717, -270.203, 62.195, -19.775, , , , , , , -30.635, -8.904, -160.763, -10.700, -25.300, -30.773, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.615,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, 0.011, -0.674, 0.741, -272.156, 61.584, -21.912, , , , , , , -33.333, -8.498, -161.279, -10.700, -25.300, -30.773, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.615,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, -0.014, -0.728, 0.779, -268.433, 55.176, -24.353, , , , , , , -36.03, -8.157, -161.812, -10.700, -25.300, -30.773, 29, 0.14273, -0.1051, -0.02542, -0.9838,
 14:12:58.647,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, -0.031, -0.78, 0.81, -260.071, 46.021, -27.649, , , , , , , -38.661, -7.932, -162.328, -10.700, -25.300, -30.773, 29, 0.1496, -0.06647, 0.28827, -0.94339,
 14:12:58.647,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, -0.034, -0.836, 0.835, -247.314, 34.607, -30.334, , , , , , , -41.188, -7.822, -162.806, -10.700, -25.300, -30.773, 29, 0.1496, -0.06647, 0.28827, -0.94339,
 14:12:58.647,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, -0.04, -0.89, 0.867, -228.882, 25.574, -31.25, , , , , , , -43.561, -7.822, -163.235, -10.700, -25.300, -30.773, 29, 0.1496, -0.06647, 0.28827, -0.94339,
 14:12:58.647,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, -0.033, -0.917, 0.891, -207.092, 14.648, -31.982, , , , , , , -45.725, -7.91, -163.592, -10.700, -25.300, -30.773, 29, 0.1496, -0.06647, 0.28827, -0.94339,
 14:12:58.677,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, -0.022, -0.935, 0.898, -185.608, 9.338, -33.081, , , , , , , -47.675, -8.08, -163.894, -10.700, -25.300, -30.773, 29, 0.1496, -0.06647, 0.28827, -0.94339,
 14:12:58.677,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:52.683, -0.016, -0.943, 0.884, -161.133, 3.54, -36.682, , , , , , , -49.395, -8.306, -164.174, -10.700, -25.300, -30.773, 29, 0.1496, -0.06647, 0.28827, -0.94339,
