Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:52:25.098,d0:1c:1b:3a:ee:9d, 2025-10-17 13:24:27.893, 0.201, 0.03, 1.003, 0.244, -0.732, 0.061, , , , , , , 3.246, -16.848, -117.004, -11.900, -27.300, -31.513, 29.33, -0.52173, 0.06854, 0.06494, 0.84781,
 13:52:25.100,d0:1c:1b:3a:ee:9d, 2025-10-17 13:24:27.893, 0.204, 0.031, 1.01, 0.427, -0.061, 0, , , , , , , 3.246, -16.853, -117.004, -11.900, -27.300, -31.513, 29.33, -0.52173, 0.06854, 0.06494, 0.84781,
 13:52:25.100,d0:1c:1b:3a:ee:9d, 2025-10-17 13:24:27.893, 0.2, 0.03, 1.013, 0.793, 1.404, 0.244, , , , , , , 3.246, -16.848, -117.015, -11.900, -27.300, -31.513, 29.33, -0.52173, 0.06854, 0.06494, 0.84781,
 13:52:25.100,d0:1c:1b:3a:ee:9d, 2025-10-17 13:24:27.893, 0.196, 0.031, 1.009, 0.671, 2.075, 0.854, , , , , , , 3.252, -16.831, -117.004, -11.900, -27.300, -31.513, 29.33, -0.52173, 0.06854, 0.06494, 0.84781,
 13:52:25.157,d0:1c:1b:3a:ee:9d, 2025-10-17 13:24:27.893, 0.194, 0.033, 1, 0, 1.953, 1.343, , , , , , , 3.246, -16.809, -117.004, -11.900, -27.300, -31.513, 29.33, -0.52173, 0.06854, 0.06494, 0.84781,
 13:52:25.157,d0:1c:1b:3a:ee:9d, 2025-10-17 13:24:27.893, 0.192, 0.032, 0.994, -0.366, 1.77, 1.587, , , , , , , 3.241, -16.793, -116.988, -11.900, -27.300, -31.513, 29.33, -0.52173, 0.06854, 0.06494, 0.84781,
 13:52:25.157,d0:1c:1b:3a:ee:9d, 2025-10-17 13:24:27.893, 0.193, 0.031, 0.991, -0.732, 0.977, 1.587, , , , , , , 3.224, -16.776, -116.982, -11.900, -27.300, -31.513, 29.33, -0.52173, 0.06854, 0.06494, 0.84781,
 13:52:25.157,d0:1c:1b:3a:ee:9d, 2025-10-17 13:24:27.893, 0.199, 0.031, 0.991, -1.221, 0.305, 1.465, , , , , , , 3.208, -16.776, -116.966, -11.900, -27.300, -31.513, 29.33, -0.52173, 0.06854, 0.06494, 0.84781,
 13:52:25.186,d0:1c:1b:3a:ee:9d, 2025-10-17 13:24:28.283, 0.201, 0.032, 0.994, -1.892, 0.732, 1.343, , , , , , , 3.186, -16.771, -116.966, -11.900, -27.300, -31.513, 29.33, -0.52173, 0.06854, 0.06494, 0.84781,
 13:52:25.186,d0:1c:1b:3a:ee:9d, 2025-10-17 13:24:28.283, 0.197, 0.029, 1, -2.014, 0.671, 1.099, , , , , , , 3.159, -16.765, -116.955, -11.900, -27.300, -31.513, 29.33, -0.52173, 0.06854, 0.06494, 0.84781,
