Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:53:06.557,d0:1c:1b:3a:ee:9d, 2025-10-17 13:25:08.943, 0.143, -0.071, 1.018, 0.732, 2.747, 0.854, , , , , , , -1.961, -13.656, -134.429, -9.400, -25.400, -32.380, 29.25, -0.38474, 0.06918, 0.00101, 0.92038,
 13:53:06.558,d0:1c:1b:3a:ee:9d, 2025-10-17 13:25:08.943, 0.137, -0.07, 1.011, 0.549, 2.747, 0.977, , , , , , , -1.967, -13.629, -134.423, -9.400, -25.400, -32.380, 29.25, -0.38474, 0.06918, 0.00101, 0.92038,
 13:53:06.558,d0:1c:1b:3a:ee:9d, 2025-10-17 13:25:08.943, 0.133, -0.072, 1.005, 0.183, 1.77, 0.977, , , , , , , -1.967, -13.607, -134.418, -9.400, -25.400, -32.380, 29.25, -0.38474, 0.06918, 0.00101, 0.92038,
 13:53:06.558,d0:1c:1b:3a:ee:9d, 2025-10-17 13:25:08.943, 0.129, -0.077, 1.005, 0.366, 0.427, 0.427, , , , , , , -1.972, -13.596, -134.412, -9.400, -25.400, -32.380, 29.25, -0.38474, 0.06918, 0.00101, 0.92038,
 13:53:06.589,d0:1c:1b:3a:ee:9d, 2025-10-17 13:25:08.943, 0.131, -0.082, 1.022, 1.892, -0.244, 0.183, , , , , , , -1.967, -13.596, -134.418, -9.400, -25.400, -32.380, 29.25, -0.38474, 0.06918, 0.00101, 0.92038,
 13:53:06.589,d0:1c:1b:3a:ee:9d, 2025-10-17 13:25:08.943, 0.137, -0.08, 1.039, 3.601, -0.916, 0.427, , , , , , , -1.945, -13.607, -134.412, -9.400, -25.400, -32.380, 29.25, -0.38474, 0.06918, 0.00101, 0.92038,
 13:53:06.589,d0:1c:1b:3a:ee:9d, 2025-10-17 13:25:08.943, 0.142, -0.073, 1.046, 5.127, -0.916, 0.671, , , , , , , -1.906, -13.618, -134.418, -9.400, -25.400, -32.380, 29.25, -0.38474, 0.06918, 0.00101, 0.92038,
 13:53:06.589,d0:1c:1b:3a:ee:9d, 2025-10-17 13:25:08.943, 0.143, -0.069, 1.042, 6.47, 0, 1.221, , , , , , , -1.851, -13.623, -134.407, -9.400, -25.400, -32.380, 29.25, -0.38474, 0.06918, 0.00101, 0.92038,
 13:53:06.589,d0:1c:1b:3a:ee:9d, 2025-10-17 13:25:08.943, 0.137, -0.066, 1.029, 6.958, 1.282, 1.831, , , , , , , -1.791, -13.618, -134.396, -9.400, -25.400, -32.380, 29.25, -0.38474, 0.06918, 0.00101, 0.92038,
 13:53:06.589,d0:1c:1b:3a:ee:9d, 2025-10-17 13:25:08.943, 0.136, -0.063, 1.005, 6.104, 1.77, 2.258, , , , , , , -1.736, -13.601, -134.379, -9.400, -25.400, -32.380, 29.25, -0.38474, 0.06918, 0.00101, 0.92038,
