Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:12:06.956,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:01.688, 0.169, -0.197, 1.005, -5.188, 2.197, 10.376, , , , , , , -9.064, -15.776, -154.814, -12.500, -26.800, -34.080, 29.02, 0.19907, -0.10199, 0.05716, -0.97293,
 14:12:06.956,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:01.688, 0.172, -0.196, 1.009, -4.211, 2.563, 9.705, , , , , , , -9.135, -15.738, -154.72, -12.500, -26.800, -34.080, 29.02, 0.19907, -0.10199, 0.05716, -0.97293,
 14:12:06.956,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:01.688, 0.169, -0.195, 1.01, -3.357, 3.845, 9.338, , , , , , , -9.19, -15.688, -154.633, -12.500, -26.800, -34.080, 29.02, 0.19907, -0.10199, 0.05716, -0.97293,
 14:12:06.956,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:01.688, 0.163, -0.194, 1.004, -2.869, 4.822, 9.216, , , , , , , -9.24, -15.628, -154.545, -12.500, -26.800, -34.080, 29.02, 0.19907, -0.10199, 0.05716, -0.97293,
 14:12:06.986,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:01.688, 0.159, -0.195, 0.995, -2.747, 4.15, 9.094, , , , , , , -9.289, -15.568, -154.462, -12.500, -26.800, -34.080, 29.02, 0.19907, -0.10199, 0.05716, -0.97293,
 14:12:06.986,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:01.688, 0.155, -0.195, 0.989, -3.052, 4.333, 9.155, , , , , , , -9.338, -15.513, -154.38, -12.500, -26.800, -34.080, 29.02, 0.19907, -0.10199, 0.05716, -0.97293,
 14:12:06.986,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:01.688, 0.149, -0.196, 0.983, -3.845, 4.272, 9.277, , , , , , , -9.393, -15.452, -154.297, -12.500, -26.800, -34.080, 29.02, 0.19907, -0.10199, 0.05716, -0.97293,
 14:12:06.986,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:01.688, 0.146, -0.196, 0.979, -4.578, 3.357, 9.46, , , , , , , -9.454, -15.397, -154.21, -12.500, -26.800, -34.080, 29.02, 0.19907, -0.10199, 0.05716, -0.97293,
 14:12:07.046,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:01.688, 0.146, -0.195, 0.98, -5.676, 2.38, 9.583, , , , , , , -9.525, -15.353, -154.122, -12.500, -26.800, -34.080, 29.02, 0.19907, -0.10199, 0.05716, -0.97293,
 14:12:07.046,d0:1c:1b:3a:ee:9d, 2025-10-17 13:44:01.688, 0.149, -0.198, 0.984, -6.592, 1.709, 10.132, , , , , , , -9.608, -15.32, -154.028, -12.500, -26.800, -34.080, 29.02, 0.19907, -0.10199, 0.05716, -0.97293,
