Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:40:26.170,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.608, 0.036, 0.106, 1.091, 150.94, 23.01, -34.729, , , , , , , 14.925, -11.739, -126.277, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.172,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.608, 0.08, 0.168, 1.08, 155.212, 14.038, -35.156, , , , , , , 16.485, -11.503, -126.579, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.173,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.608, 0.073, 0.166, 1.021, 158.203, 20.203, -28.992, , , , , , , 18.073, -11.25, -126.843, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.173,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.608, 0.045, 0.187, 0.93, 154.419, 20.63, -23.071, , , , , , , 19.649, -10.97, -127.018, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.203,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.608, 0.033, 0.253, 0.861, 142.517, 18.372, -18.921, , , , , , , 21.138, -10.723, -127.15, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.203,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.608, 0.019, 0.3, 0.834, 131.287, 18.677, -13.611, , , , , , , 22.495, -10.497, -127.238, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.203,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.608, 0.002, 0.325, 0.849, 125.061, 18.005, -9.033, , , , , , , 23.763, -10.283, -127.266, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.203,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.608, 0.005, 0.349, 0.906, 122.62, 13.794, -6.409, , , , , , , 24.994, -10.107, -127.271, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.260,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.044, 0.358, 0.97, 124.817, 7.812, -6.287, , , , , , , 26.219, -9.987, -127.282, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.260,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.087, 0.361, 1, 130.432, 7.202, -6.775, , , , , , , 27.493, -9.899, -127.315, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.260,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.1, 0.373, 0.986, 136.047, 14.221, -5.005, , , , , , , 28.823, -9.778, -127.315, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.261,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.098, 0.407, 0.93, 137.085, 16.357, -3.967, , , , , , , 30.185, -9.619, -127.282, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.289,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.099, 0.455, 0.85, 133.972, 14.282, -4.272, , , , , , , 31.531, -9.465, -127.238, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.289,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.106, 0.508, 0.785, 126.221, 11.414, -5.981, , , , , , , 32.822, -9.333, -127.216, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.289,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.117, 0.557, 0.732, 116.577, 12.268, -10.254, , , , , , , 34.03, -9.19, -127.222, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.289,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.116, 0.598, 0.699, 105.469, 16.296, -13.672, , , , , , , 35.129, -9.009, -127.249, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.349,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.102, 0.627, 0.686, 94.482, 20.325, -16.296, , , , , , , 36.118, -8.767, -127.266, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.349,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.08, 0.643, 0.696, 86.304, 22.583, -18.494, , , , , , , 37.007, -8.492, -127.282, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.349,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.068, 0.655, 0.71, 79.163, 21.912, -19.958, , , , , , , 37.826, -8.196, -127.304, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
 14:40:26.349,d0:1c:1b:3a:ee:9d, 2025-10-17 14:12:08.968, 0.069, 0.658, 0.718, 73.425, 20.813, -20.081, , , , , , , 38.578, -7.905, -127.337, -59.500, -13.100, -22.320, 27.61, 0.46286, -0.01617, -0.09952, -0.88062,
