Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 23:07:37.190,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:22.685, -0.145, -0.077, 1.028, -1.892, -1.648, 0.183, , , , , , , -2.291, 1.417, 157.786, -46.300, -25.000, -28.153, 22.63, 0.19028, -0.07126, -0.01505, 0.97897,
 23:07:37.191,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:22.685, -0.142, -0.079, 1.03, -1.099, -1.892, 0.671, , , , , , , -2.307, 1.401, 157.78, -46.300, -25.000, -28.153, 22.63, 0.19028, -0.07126, -0.01505, 0.97897,
 23:07:37.191,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:22.685, -0.139, -0.079, 1.031, -0.488, -1.77, 1.038, , , , , , , -2.313, 1.384, 157.808, -46.300, -25.000, -28.153, 22.63, 0.19028, -0.07126, -0.01505, 0.97897,
 23:07:37.191,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:22.685, -0.135, -0.079, 1.029, 0.244, -1.831, 1.282, , , , , , , -2.318, 1.362, 157.813, -46.300, -25.000, -28.153, 22.63, 0.19028, -0.07126, -0.01505, 0.97897,
 23:07:37.218,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:23.045, -0.128, -0.075, 1.028, 1.099, -1.709, 1.648, , , , , , , -2.307, 1.346, 157.846, -46.300, -25.000, -28.153, 22.63, 0.19028, -0.07126, -0.01505, 0.97897,
 23:07:37.218,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:23.045, -0.124, -0.066, 1.023, 1.221, -1.16, 1.831, , , , , , , -2.296, 1.335, 157.852, -46.300, -25.000, -28.153, 22.63, 0.19028, -0.07126, -0.01505, 0.97897,
 23:07:37.218,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:23.045, -0.123, -0.064, 1.02, 0.732, -0.732, 1.526, , , , , , , -2.285, 1.324, 157.885, -46.300, -25.000, -28.153, 22.63, 0.19028, -0.07126, -0.01505, 0.97897,
 23:07:37.218,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:23.045, -0.124, -0.07, 1.019, 0.427, -0.793, 0.61, , , , , , , -2.28, 1.318, 157.89, -46.300, -25.000, -28.153, 22.63, 0.19028, -0.07126, -0.01505, 0.97897,
 23:07:37.248,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:23.045, -0.125, -0.078, 1.018, 0.183, -1.221, 0, , , , , , , -2.28, 1.307, 157.906, -46.300, -25.000, -28.153, 22.63, 0.19028, -0.07126, -0.01505, 0.97897,
 23:07:37.248,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:23.045, -0.125, -0.081, 1.019, 0.183, -1.282, -0.427, , , , , , , -2.28, 1.296, 157.896, -46.300, -25.000, -28.153, 22.63, 0.19028, -0.07126, -0.01505, 0.97897,
