Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:50:09.166,d0:1c:1b:3a:ee:9d, 2025-10-17 14:21:47.333, 0.142, 0.018, 1.024, -0.671, 0.61, 1.465, , , , , , , 3.06, -14.046, -105.403, -58.600, -11.600, -24.013, 27.2, 0.60501, -0.04324, -0.05643, -0.79297,
 14:50:09.166,d0:1c:1b:3a:ee:9d, 2025-10-17 14:21:47.333, 0.146, 0.016, 1.029, 0.61, 0.732, 1.526, , , , , , , 3.049, -14.046, -105.386, -58.600, -11.600, -24.013, 27.2, 0.60501, -0.04324, -0.05643, -0.79297,
 14:50:09.167,d0:1c:1b:3a:ee:9d, 2025-10-17 14:21:47.333, 0.146, 0.017, 1.034, 2.075, 1.953, 1.465, , , , , , , 3.06, -14.03, -105.37, -58.600, -11.600, -24.013, 27.2, 0.60501, -0.04324, -0.05643, -0.79297,
 14:50:09.167,d0:1c:1b:3a:ee:9d, 2025-10-17 14:21:47.333, 0.142, 0.019, 1.034, 3.174, 3.052, 1.16, , , , , , , 3.076, -14.008, -105.359, -58.600, -11.600, -24.013, 27.2, 0.60501, -0.04324, -0.05643, -0.79297,
 14:50:09.167,d0:1c:1b:3a:ee:9d, 2025-10-17 14:21:47.333, 0.138, 0.022, 1.028, 3.723, 3.54, 0.61, , , , , , , 3.104, -13.975, -105.348, -58.600, -11.600, -24.013, 27.2, 0.60501, -0.04324, -0.05643, -0.79297,
 14:50:09.167,d0:1c:1b:3a:ee:9d, 2025-10-17 14:21:47.333, 0.133, 0.025, 1.02, 3.357, 3.784, 0.366, , , , , , , 3.131, -13.936, -105.342, -58.600, -11.600, -24.013, 27.2, 0.60501, -0.04324, -0.05643, -0.79297,
 14:50:09.167,d0:1c:1b:3a:ee:9d, 2025-10-17 14:21:47.333, 0.127, 0.028, 1.01, 2.319, 3.418, 0.427, , , , , , , 3.153, -13.903, -105.337, -58.600, -11.600, -24.013, 27.2, 0.60501, -0.04324, -0.05643, -0.79297,
 14:50:09.167,d0:1c:1b:3a:ee:9d, 2025-10-17 14:21:47.333, 0.126, 0.03, 1, 0.549, 2.502, 0.427, , , , , , , 3.159, -13.876, -105.331, -58.600, -11.600, -24.013, 27.2, 0.60501, -0.04324, -0.05643, -0.79297,
 14:50:09.226,d0:1c:1b:3a:ee:9d, 2025-10-17 14:21:47.808, 0.13, 0.031, 0.993, -1.892, 2.38, 0.488, , , , , , , 3.148, -13.854, -105.326, -58.600, -11.600, -24.013, 27.2, 0.60501, -0.04324, -0.05643, -0.79297,
 14:50:09.228,d0:1c:1b:3a:ee:9d, 2025-10-17 14:21:47.808, 0.132, 0.03, 0.992, -4.028, 3.418, 1.221, , , , , , , 3.104, -13.826, -105.315, -58.600, -11.600, -24.013, 27.2, 0.60501, -0.04324, -0.05643, -0.79297,
