Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:23:51.811,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.044, 0.128, 1.027, 0.244, -2.563, -0.793, , , , , , , 8.432, -4.631, -110.061, -54.400, -11.800, -29.427, 28.59, 0.57141, 0.056, -0.0441, -0.81747,
 14:23:51.813,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.038, 0.133, 1.031, 1.709, -2.197, -0.427, , , , , , , 8.438, -4.658, -110.072, -54.400, -11.800, -29.427, 28.59, 0.57141, 0.056, -0.0441, -0.81747,
 14:23:51.813,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.032, 0.133, 1.03, 3.296, -0.244, 0.061, , , , , , , 8.459, -4.675, -110.072, -54.400, -11.800, -29.427, 28.59, 0.57141, 0.056, -0.0441, -0.81747,
 14:23:51.813,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.03, 0.133, 1.025, 4.028, 1.526, 0.916, , , , , , , 8.492, -4.664, -110.061, -54.400, -11.800, -29.427, 28.59, 0.57141, 0.056, -0.0441, -0.81747,
 14:23:51.961,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.028, 0.132, 1.014, 3.418, 2.258, 0.977, , , , , , , 8.525, -4.647, -110.045, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:51.961,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.023, 0.132, 0.999, 1.709, 1.831, 0.732, , , , , , , 8.542, -4.631, -110.034, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:51.961,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.016, 0.134, 0.99, -0.732, 2.563, 0, , , , , , , 8.542, -4.609, -110.028, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:51.961,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.024, 0.131, 0.987, -3.418, 4.944, -0.854, , , , , , , 8.514, -4.57, -110.028, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:51.962,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.04, 0.126, 0.994, -5.493, 5.493, -1.526, , , , , , , 8.465, -4.521, -110.028, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:51.962,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.054, 0.119, 1.007, -6.897, 3.601, -2.075, , , , , , , 8.394, -4.471, -110.039, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:51.962,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.057, 0.105, 1.027, -6.104, 0.793, -1.831, , , , , , , 8.317, -4.449, -110.056, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:51.962,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.348, -0.054, 0.091, 1.049, -3.418, -0.732, -1.221, , , , , , , 8.262, -4.449, -110.072, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.021,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.048, 0.081, 1.069, 0.916, -1.282, -0.061, , , , , , , 8.245, -4.46, -110.078, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.021,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.043, 0.08, 1.078, 5.615, -1.16, 0.549, , , , , , , 8.278, -4.477, -110.072, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.021,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.04, 0.089, 1.066, 9.155, -1.648, 0.366, , , , , , , 8.35, -4.493, -110.067, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.021,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.036, 0.107, 1.041, 10.681, -1.587, -0.427, , , , , , , 8.443, -4.51, -110.067, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.022,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.034, 0.131, 1.008, 9.094, -0.977, -1.404, , , , , , , 8.542, -4.521, -110.078, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.022,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.035, 0.151, 0.977, 5.188, 0.488, -1.648, , , , , , , 8.602, -4.526, -110.094, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.022,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.041, 0.162, 0.963, 0.977, 3.174, -1.526, , , , , , , 8.63, -4.504, -110.105, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.022,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.049, 0.163, 0.965, -2.869, 4.822, -0.793, , , , , , , 8.613, -4.466, -110.11, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.022,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.055, 0.152, 0.979, -5.371, 5.249, 0.366, , , , , , , 8.564, -4.417, -110.105, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.022,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.057, 0.135, 1, -6.104, 3.723, 1.221, , , , , , , 8.498, -4.373, -110.089, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.022,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.047, 0.12, 1.025, -5.31, 0.732, 1.221, , , , , , , 8.432, -4.351, -110.067, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.023,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.036, 0.106, 1.045, -2.991, 0.305, 1.038, , , , , , , 8.388, -4.351, -110.056, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.051,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.031, 0.094, 1.055, 0.061, 1.221, 0.916, , , , , , , 8.366, -4.345, -110.045, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.051,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.026, 0.091, 1.057, 2.441, 1.404, 0.305, , , , , , , 8.377, -4.334, -110.034, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.051,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.025, 0.094, 1.051, 4.333, 2.136, 0.122, , , , , , , 8.41, -4.323, -110.028, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.051,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.032, 0.099, 1.038, 5.493, 3.235, 0.183, , , , , , , 8.454, -4.296, -110.023, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.140,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.042, 0.108, 1.024, 5.798, 3.662, 0, , , , , , , 8.503, -4.263, -110.012, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.140,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.054, 0.119, 1.013, 5.005, 3.662, -0.244, , , , , , , 8.553, -4.224, -110.012, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
 14:23:52.140,d0:1c:1b:3a:ee:9d, 2025-10-17 13:55:41.673, -0.064, 0.127, 1.004, 3.54, 3.357, -0.244, , , , , , , 8.591, -4.191, -110.006, -54.400, -11.800, -29.427, 28.59, 0.57101, 0.04852, -0.04526, -0.81818,
