Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:56:05.180,d0:1c:1b:3a:ee:9d, 2025-10-17 14:27:40.973, 0.151, -0.146, 1.013, -4.639, 4.883, 0.61, , , , , , , -6.152, -15.881, -113.961, -60.300, -11.000, -19.373, 27.01, 0.53714, -0.10547, 0.00391, -0.83679,
 14:56:05.180,d0:1c:1b:3a:ee:9d, 2025-10-17 14:27:40.973, 0.154, -0.154, 1.022, -2.869, 3.235, 0, , , , , , , -6.196, -15.842, -113.967, -60.300, -11.000, -19.373, 27.01, 0.53714, -0.10547, 0.00391, -0.83679,
 14:56:05.180,d0:1c:1b:3a:ee:9d, 2025-10-17 14:27:40.973, 0.156, -0.158, 1.028, -0.488, 2.014, -0.61, , , , , , , -6.213, -15.82, -113.972, -60.300, -11.000, -19.373, 27.01, 0.53714, -0.10547, 0.00391, -0.83679,
 14:56:05.181,d0:1c:1b:3a:ee:9d, 2025-10-17 14:27:40.973, 0.157, -0.157, 1.03, 1.282, 1.526, -1.221, , , , , , , -6.213, -15.804, -113.983, -60.300, -11.000, -19.373, 27.01, 0.53714, -0.10547, 0.00391, -0.83679,
 14:56:05.210,d0:1c:1b:3a:ee:9d, 2025-10-17 14:27:40.973, 0.155, -0.157, 1.025, 2.625, 2.136, -1.526, , , , , , , -6.196, -15.787, -114, -60.300, -11.000, -19.373, 27.01, 0.53714, -0.10547, 0.00391, -0.83679,
 14:56:05.212,d0:1c:1b:3a:ee:9d, 2025-10-17 14:27:40.973, 0.153, -0.155, 1.017, 3.479, 2.991, -1.709, , , , , , , -6.163, -15.765, -114.022, -60.300, -11.000, -19.373, 27.01, 0.53714, -0.10547, 0.00391, -0.83679,
 14:56:05.212,d0:1c:1b:3a:ee:9d, 2025-10-17 14:27:40.973, 0.154, -0.15, 1.01, 3.784, 3.357, -1.343, , , , , , , -6.13, -15.738, -114.038, -60.300, -11.000, -19.373, 27.01, 0.53714, -0.10547, 0.00391, -0.83679,
 14:56:05.212,d0:1c:1b:3a:ee:9d, 2025-10-17 14:27:40.973, 0.158, -0.145, 1.003, 3.296, 4.272, -1.16, , , , , , , -6.097, -15.705, -114.055, -60.300, -11.000, -19.373, 27.01, 0.53714, -0.10547, 0.00391, -0.83679,
 14:56:05.270,d0:1c:1b:3a:ee:9d, 2025-10-17 14:27:41.333, 0.158, -0.141, 0.998, 2.563, 5.005, -0.732, , , , , , , -6.07, -15.661, -114.071, -60.300, -11.000, -19.373, 27.01, 0.53714, -0.10547, 0.00391, -0.83679,
 14:56:05.270,d0:1c:1b:3a:ee:9d, 2025-10-17 14:27:41.333, 0.159, -0.136, 0.992, 1.404, 5.127, -0.366, , , , , , , -6.053, -15.612, -114.082, -60.300, -11.000, -19.373, 27.01, 0.53714, -0.10547, 0.00391, -0.83679,
