Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:46:21.973,d0:1c:1b:3a:ee:9d, 2025-10-17 14:18:01.808, 0.095, -0.078, 1.021, 6.897, -0.122, 1.709, , , , , , , -2.274, -12.206, -99.712, -56.100, -6.900, -21.880, 27.38, 0.64203, -0.05896, -0.0108, -0.76425,
 14:46:21.977,d0:1c:1b:3a:ee:9d, 2025-10-17 14:18:01.808, 0.095, -0.072, 1.016, 6.47, -0.854, 1.343, , , , , , , -2.214, -12.211, -99.695, -56.100, -6.900, -21.880, 27.38, 0.64203, -0.05896, -0.0108, -0.76425,
 14:46:21.977,d0:1c:1b:3a:ee:9d, 2025-10-17 14:18:01.808, 0.095, -0.066, 1.014, 5.554, -1.953, 1.282, , , , , , , -2.164, -12.222, -99.684, -56.100, -6.900, -21.880, 27.38, 0.64203, -0.05896, -0.0108, -0.76425,
 14:46:21.977,d0:1c:1b:3a:ee:9d, 2025-10-17 14:18:01.808, 0.096, -0.063, 1.011, 4.456, -2.747, 1.099, , , , , , , -2.12, -12.25, -99.673, -56.100, -6.900, -21.880, 27.38, 0.64203, -0.05896, -0.0108, -0.76425,
 14:46:21.978,d0:1c:1b:3a:ee:9d, 2025-10-17 14:18:01.808, 0.098, -0.062, 1.007, 3.174, -3.601, 0.732, , , , , , , -2.087, -12.283, -99.662, -56.100, -6.900, -21.880, 27.38, 0.64203, -0.05896, -0.0108, -0.76425,
 14:46:21.978,d0:1c:1b:3a:ee:9d, 2025-10-17 14:18:01.808, 0.102, -0.062, 1.005, 1.77, -3.967, 0.488, , , , , , , -2.076, -12.321, -99.651, -56.100, -6.900, -21.880, 27.38, 0.64203, -0.05896, -0.0108, -0.76425,
 14:46:21.978,d0:1c:1b:3a:ee:9d, 2025-10-17 14:18:01.808, 0.107, -0.062, 1.002, 0.183, -3.967, 0.244, , , , , , , -2.071, -12.365, -99.646, -56.100, -6.900, -21.880, 27.38, 0.64203, -0.05896, -0.0108, -0.76425,
 14:46:21.978,d0:1c:1b:3a:ee:9d, 2025-10-17 14:18:01.808, 0.108, -0.06, 0.999, -1.526, -3.174, 0, , , , , , , -2.087, -12.398, -99.646, -56.100, -6.900, -21.880, 27.38, 0.64203, -0.05896, -0.0108, -0.76425,
 14:46:22.002,d0:1c:1b:3a:ee:9d, 2025-10-17 14:18:01.808, 0.11, -0.057, 0.995, -3.845, -2.38, -0.244, , , , , , , -2.12, -12.431, -99.646, -56.100, -6.900, -21.880, 27.38, 0.64203, -0.05896, -0.0108, -0.76425,
 14:46:22.002,d0:1c:1b:3a:ee:9d, 2025-10-17 14:18:01.808, 0.113, -0.056, 0.992, -6.287, -0.732, -0.671, , , , , , , -2.181, -12.442, -99.651, -56.100, -6.900, -21.880, 27.38, 0.64203, -0.05896, -0.0108, -0.76425,
