Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 20:23:41.400,d0:1c:1b:3a:ee:9d, 2015-01-01 00:07:07.420, 0.037, 0.013, 1.014, 2.38, 1.404, -0.488, , , , , , , 2.664, -12.008, 145.695, 3.400, -10.800, -24.553, 29.77, 0.29294, 0.05365, -0.00293, 0.95456,
 20:23:41.402,d0:1c:1b:3a:ee:9d, 2015-01-01 00:07:07.420, 0.036, 0.015, 1.015, 2.014, 2.075, -0.366, , , , , , , 2.675, -11.986, 145.701, 3.400, -10.800, -24.553, 29.77, 0.29294, 0.05365, -0.00293, 0.95456,
 20:23:41.402,d0:1c:1b:3a:ee:9d, 2015-01-01 00:07:07.420, 0.031, 0.016, 1.019, 1.831, 1.77, -0.549, , , , , , , 2.692, -11.975, 145.695, 3.400, -10.800, -24.553, 29.77, 0.29294, 0.05365, -0.00293, 0.95456,
 20:23:41.402,d0:1c:1b:3a:ee:9d, 2015-01-01 00:07:07.420, 0.032, 0.018, 1.022, 1.526, 0.793, -0.671, , , , , , , 2.703, -11.959, 145.695, 3.400, -10.800, -24.553, 29.77, 0.29294, 0.05365, -0.00293, 0.95456,
 20:23:41.430,d0:1c:1b:3a:ee:9d, 2015-01-01 00:07:07.420, 0.033, 0.018, 1.025, 1.343, 0.427, -0.854, , , , , , , 2.714, -11.959, 145.679, 3.400, -10.800, -24.553, 29.77, 0.29294, 0.05365, -0.00293, 0.95456,
 20:23:41.430,d0:1c:1b:3a:ee:9d, 2015-01-01 00:07:07.420, 0.032, 0.016, 1.029, 1.526, 0.732, -0.732, , , , , , , 2.719, -11.953, 145.679, 3.400, -10.800, -24.553, 29.77, 0.29294, 0.05365, -0.00293, 0.95456,
 20:23:41.430,d0:1c:1b:3a:ee:9d, 2015-01-01 00:07:07.420, 0.028, 0.014, 1.031, 1.709, 1.587, -0.61, , , , , , , 2.736, -11.948, 145.673, 3.400, -10.800, -24.553, 29.77, 0.29294, 0.05365, -0.00293, 0.95456,
 20:23:41.430,d0:1c:1b:3a:ee:9d, 2015-01-01 00:07:07.420, 0.023, 0.014, 1.028, 1.221, 1.77, -0.244, , , , , , , 2.741, -11.926, 145.673, 3.400, -10.800, -24.553, 29.77, 0.29294, 0.05365, -0.00293, 0.95456,
 20:23:41.460,d0:1c:1b:3a:ee:9d, 2015-01-01 00:07:07.420, 0.024, 0.012, 1.023, 0.793, 0.488, 0, , , , , , , 2.747, -11.92, 145.673, 4.300, -9.800, -24.287, 29.77, 0.29294, 0.05365, -0.00293, 0.95456,
 20:23:41.460,d0:1c:1b:3a:ee:9d, 2015-01-01 00:07:07.420, 0.031, 0.008, 1.022, 1.16, -0.854, 0.122, , , , , , , 2.752, -11.92, 145.679, 4.300, -9.800, -24.287, 29.77, 0.29294, 0.05365, -0.00293, 0.95456,
