Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 18:51:43.670,d0:1c:1b:3a:ee:9d, 2015-01-01 00:11:03.585, 0.017, 0.046, 1.017, -7.629, 0.671, -6.958, , , , , , , 4.768, -6.894, -134.813, -0.900, -10.300, -23.920, 30.34, 0.36871, 0.00116, -0.02283, -0.9292,
 18:51:43.672,d0:1c:1b:3a:ee:9d, 2015-01-01 00:11:03.585, 0.012, 0.042, 1.028, -7.629, 0.244, -6.714, , , , , , , 4.691, -6.883, -134.89, -0.900, -10.300, -23.920, 30.34, 0.36871, 0.00116, -0.02283, -0.9292,
 18:51:43.672,d0:1c:1b:3a:ee:9d, 2015-01-01 00:11:03.585, 0.01, 0.038, 1.04, -6.775, 0.916, -5.981, , , , , , , 4.614, -6.877, -134.951, -0.900, -10.300, -23.920, 30.34, 0.36871, 0.00116, -0.02283, -0.9292,
 18:51:43.672,d0:1c:1b:3a:ee:9d, 2015-01-01 00:11:03.585, 0.007, 0.032, 1.049, -5.127, 2.869, -5.066, , , , , , , 4.559, -6.85, -135.011, -0.900, -10.300, -23.920, 30.34, 0.36871, 0.00116, -0.02283, -0.9292,
 18:51:43.727,d0:1c:1b:3a:ee:9d, 2015-01-01 00:11:03.585, -0.003, 0.028, 1.053, -3.479, 5.432, -4.15, , , , , , , 4.51, -6.806, -135.049, -0.900, -10.300, -23.920, 30.34, 0.36871, 0.00116, -0.02283, -0.9292,
 18:51:43.727,d0:1c:1b:3a:ee:9d, 2015-01-01 00:11:03.585, -0.019, 0.026, 1.053, -1.465, 6.47, -3.418, , , , , , , 4.488, -6.74, -135.088, -0.900, -10.300, -23.920, 30.34, 0.36871, 0.00116, -0.02283, -0.9292,
 18:51:43.727,d0:1c:1b:3a:ee:9d, 2015-01-01 00:11:03.585, -0.028, 0.025, 1.05, 0.427, 5.127, -2.93, , , , , , , 4.482, -6.68, -135.11, -0.900, -10.300, -23.920, 30.34, 0.36871, 0.00116, -0.02283, -0.9292,
 18:51:43.727,d0:1c:1b:3a:ee:9d, 2015-01-01 00:11:03.585, -0.026, 0.027, 1.044, 1.831, 2.197, -2.38, , , , , , , 4.493, -6.641, -135.143, -0.900, -10.300, -23.920, 30.34, 0.36871, 0.00116, -0.02283, -0.9292,
 18:51:43.727,d0:1c:1b:3a:ee:9d, 2015-01-01 00:11:03.585, -0.021, 0.03, 1.041, 2.502, 0.427, -1.77, , , , , , , 4.51, -6.63, -135.159, -0.900, -10.300, -23.920, 30.34, 0.36871, 0.00116, -0.02283, -0.9292,
 18:51:43.727,d0:1c:1b:3a:ee:9d, 2015-01-01 00:11:03.585, -0.014, 0.032, 1.037, 2.808, -0.305, -1.099, , , , , , , 4.537, -6.625, -135.181, -0.900, -10.300, -23.920, 30.34, 0.36871, 0.00116, -0.02283, -0.9292,
