Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 18:50:53.753,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:13.840, 0.117, 0.007, 1.011, -0.427, 1.709, 0.427, , , , , , , 2.752, -10.096, -115.554, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.754,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:13.840, 0.111, 0.004, 1.012, -0.61, 2.075, -0.183, , , , , , , 2.747, -10.069, -115.565, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.754,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:13.840, 0.105, 0.005, 1.011, -0.793, 0.61, -0.916, , , , , , , 2.736, -10.063, -115.565, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.754,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:13.840, 0.104, 0.004, 1.013, -0.671, -1.465, -1.465, , , , , , , 2.73, -10.063, -115.587, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.777,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.106, 0.003, 1.017, -0.549, -2.38, -1.648, , , , , , , 2.719, -10.096, -115.598, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.779,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.112, 0.001, 1.021, -0.549, -1.465, -1.526, , , , , , , 2.714, -10.113, -115.626, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.779,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.108, 0.001, 1.026, -0.549, 0.916, -0.732, , , , , , , 2.703, -10.124, -115.631, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.779,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.099, 0, 1.028, -0.244, 2.808, -0.366, , , , , , , 2.697, -10.096, -115.648, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.837,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.095, -0.003, 1.028, 0.854, 2.258, -0.793, , , , , , , 2.697, -10.074, -115.648, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.837,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.091, -0.002, 1.027, 1.587, 1.221, -0.854, , , , , , , 2.708, -10.052, -115.67, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.837,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.096, 0, 1.024, 1.709, -0.061, -0.305, , , , , , , 2.719, -10.058, -115.67, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.837,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.104, 0, 1.024, 1.709, -0.854, 0, , , , , , , 2.736, -10.058, -115.681, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.867,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.106, 0, 1.026, 1.831, -0.122, 0.122, , , , , , , 2.752, -10.074, -115.675, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.867,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.106, 0, 1.025, 2.319, -0.122, -0.366, , , , , , , 2.769, -10.069, -115.686, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
 18:50:53.867,d0:1c:1b:3a:ee:9d, 2015-01-01 00:10:14.195, 0.104, 0, 1.021, 2.38, -0.549, -0.427, , , , , , , 2.791, -10.085, -115.686, -1.200, -10.400, -28.327, 30.14, 0.53305, -0.0206, -0.03009, -0.84521,
