Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:49:25.121,d0:1c:1b:3a:ee:9d, 2015-01-01 00:54:12.885, 0.284, -0.074, 1.005, -2.197, -2.075, 2.197, , , , , , , 0.011, -21.791, 11.673, -6.400, -34.800, -32.647, 31.05, 0.98563, 0.01175, -0.13266, 0.10358,
 12:49:25.121,d0:1c:1b:3a:ee:9d, 2015-01-01 00:54:12.885, 0.292, -0.066, 1.03, 1.282, -1.221, 2.014, , , , , , , 0, -21.808, 11.695, -6.400, -34.800, -32.647, 31.05, 0.98563, 0.01175, -0.13266, 0.10358,
 12:49:25.121,d0:1c:1b:3a:ee:9d, 2015-01-01 00:54:12.885, 0.287, -0.053, 1.041, 3.479, 1.038, 1.953, , , , , , , 0.016, -21.808, 11.717, -6.400, -34.800, -32.647, 31.05, 0.98563, 0.01175, -0.13266, 0.10358,
 12:49:25.121,d0:1c:1b:3a:ee:9d, 2015-01-01 00:54:12.885, 0.274, -0.046, 1.029, 3.967, 0.793, 1.709, , , , , , , 0.049, -21.797, 11.739, -6.400, -34.800, -32.647, 31.05, 0.98563, 0.01175, -0.13266, 0.10358,
 12:49:25.153,d0:1c:1b:3a:ee:9d, 2015-01-01 00:54:12.885, 0.266, -0.047, 1.01, 5.005, -1.16, 0.61, , , , , , , 0.082, -21.797, 11.75, -6.400, -34.800, -32.647, 31.05, 0.98563, 0.01175, -0.13266, 0.10358,
 12:49:25.153,d0:1c:1b:3a:ee:9d, 2015-01-01 00:54:12.885, 0.269, -0.042, 0.996, 5.432, -2.136, -0.366, , , , , , , 0.137, -21.813, 11.755, -6.400, -34.800, -32.647, 31.05, 0.98563, 0.01175, -0.13266, 0.10358,
 12:49:25.153,d0:1c:1b:3a:ee:9d, 2015-01-01 00:54:12.885, 0.279, -0.038, 0.981, 4.15, -2.197, -0.366, , , , , , , 0.176, -21.835, 11.75, -6.400, -34.800, -32.647, 31.05, 0.98563, 0.01175, -0.13266, 0.10358,
 12:49:25.153,d0:1c:1b:3a:ee:9d, 2015-01-01 00:54:12.885, 0.279, -0.041, 0.969, 3.418, -1.343, -0.854, , , , , , , 0.214, -21.852, 11.744, -6.400, -34.800, -32.647, 31.05, 0.98563, 0.01175, -0.13266, 0.10358,
 12:49:25.183,d0:1c:1b:3a:ee:9d, 2015-01-01 00:54:12.885, 0.276, -0.042, 0.958, 2.808, -1.099, -0.977, , , , , , , 0.242, -21.863, 11.733, -6.400, -34.800, -32.647, 31.05, 0.98557, 0.00732, -0.1358, 0.10034,
 12:49:25.183,d0:1c:1b:3a:ee:9d, 2015-01-01 00:54:12.885, 0.278, -0.047, 0.956, 2.563, -1.343, -0.671, , , , , , , 0.269, -21.879, 11.728, -6.400, -34.800, -32.647, 31.05, 0.98557, 0.00732, -0.1358, 0.10034,
