Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:23:31.285,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.741, -2.294, 0.957, -899.292, -11.536, 37.415, , , , , , , -39.468, -15.958, -150.826, -5.900, -39.600, -29.380, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.285,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.821, -2.377, 1.081, -827.454, -9.827, 7.324, , , , , , , -48.142, -15.914, -150.606, -5.900, -39.600, -29.380, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.285,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.962, -2.491, 1.688, -690.247, 21.912, -5.432, , , , , , , -55.745, -15.892, -150.656, -5.900, -39.600, -29.380, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.285,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.736, -2.407, 2.556, -447.815, 64.941, -7.019, , , , , , , -61.315, -15.716, -151.111, -5.900, -39.600, -29.380, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.285,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.23, -2.333, 2.832, -163.391, 63.721, -13.794, , , , , , , -64.127, -15.518, -151.787, -5.900, -39.600, -29.380, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.285,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, -0.071, -2.401, 2.573, 103.271, 22.278, -3.601, , , , , , , -64.215, -15.425, -152.232, -5.900, -39.600, -29.380, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.285,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.083, -2.381, 2.31, 347.534, -30.334, 5.798, , , , , , , -61.837, -15.436, -152.144, -5.900, -39.600, -29.380, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.285,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.256, -2.21, 2.151, 544.8, -36.072, -14.954, , , , , , , -57.288, -15.645, -151.831, -5.900, -39.600, -29.380, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.314,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.271, -2.072, 1.927, 692.749, -21.301, -42.603, , , , , , , -51.01, -16.051, -151.787, -0.200, -10.000, -27.900, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.314,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.22, -2.042, 1.629, 808.472, -18.127, -65.308, , , , , , , -43.385, -16.584, -152.023, -0.200, -10.000, -27.900, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.314,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.24, -2.073, 1.326, 896.729, -23.132, -83.801, , , , , , , -34.717, -17.232, -152.485, -0.200, -10.000, -27.900, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.314,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.31, -2.083, 1.091, 945.984, 9.46, -101.318, , , , , , , -25.285, -17.798, -153.254, -0.200, -10.000, -27.900, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.374,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.329, -1.984, 0.918, 949.829, 79.773, -110.779, , , , , , , -15.54, -17.759, -154.435, -0.200, -10.000, -27.900, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.374,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.213, -1.778, 0.724, 927.429, 158.63, -111.694, , , , , , , -5.911, -16.76, -155.814, -0.200, -10.000, -27.900, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.374,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.07, -1.629, 0.516, 913.33, 174.988, -87.28, , , , , , , 3.444, -15.062, -156.89, -0.200, -10.000, -27.900, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.374,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, -0.102, -1.461, 0.235, 882.385, 126.526, -77.148, , , , , , , 12.519, -13.464, -157.505, -0.200, -10.000, -27.900, 30.22, 0.15189, -0.01947, -0.4158, -0.89639,
 13:23:31.403,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, -0.25, -1.126, -0.162, 805.176, 59.937, -90.393, , , , , , , 21.006, -12.365, -158.088, -0.200, -10.000, -27.900, 30.22, 0.19287, -0.00958, -0.21265, -0.95779,
 13:23:31.403,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, -0.099, -0.771, -0.445, 741.089, -14.465, -88.989, , , , , , , 28.746, -11.821, -158.857, -0.200, -10.000, -27.900, 30.22, 0.19287, -0.00958, -0.21265, -0.95779,
 13:23:31.403,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.239, -0.412, -0.542, 670.166, -48.035, -79.102, , , , , , , 35.87, -11.717, -159.802, -0.200, -10.000, -27.900, 30.22, 0.19287, -0.00958, -0.21265, -0.95779,
 13:23:31.403,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.32, 0.031, -0.587, 562.378, -5.31, -52.49, , , , , , , 42.061, -11.541, -160.499, -0.200, -10.000, -27.900, 30.22, 0.19287, -0.00958, -0.21265, -0.95779,
 13:23:31.405,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.085, 0.517, -0.688, 435.791, 25.146, -10.376, , , , , , , 46.983, -11.217, -160.62, -0.200, -10.000, -27.900, 30.22, 0.19287, -0.00958, -0.21265, -0.95779,
 13:23:31.405,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, -0.159, 0.865, -0.84, 306.946, -2.38, 24.719, , , , , , , 50.598, -11.212, -160.455, -0.200, -10.000, -27.900, 30.22, 0.19287, -0.00958, -0.21265, -0.95779,
 13:23:31.405,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, -0.065, 0.914, -0.838, 198.486, -57.251, 42.786, , , , , , , 53.053, -11.684, -160.483, -0.200, -10.000, -27.900, 30.22, 0.19287, -0.00958, -0.21265, -0.95779,
 13:23:31.405,d0:1c:1b:3a:ee:9d, 2015-01-01 01:28:04.575, 0.16, 0.849, -0.606, 132.69, -84.778, 42.969, , , , , , , 54.69, -12.486, -160.823, -0.200, -10.000, -27.900, 30.22, 0.19287, -0.00958, -0.21265, -0.95779,
