Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:51:31.269,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.01, 0.147, 1.008, -6.165, 9.705, -8.728, , , , , , , 11.459, -12.563, 50.828, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.269,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.005, 0.151, 1.008, -6.531, 7.751, -5.371, , , , , , , 11.393, -12.453, 50.784, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.269,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.009, 0.156, 1.005, -7.08, 4.517, -3.357, , , , , , , 11.327, -12.387, 50.795, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.269,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.018, 0.157, 1.007, -7.263, 1.282, -2.014, , , , , , , 11.25, -12.343, 50.779, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.330,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.025, 0.155, 1.015, -6.653, -0.549, -1.404, , , , , , , 11.179, -12.343, 50.801, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.330,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.031, 0.151, 1.024, -5.371, -0.732, -0.366, , , , , , , 11.118, -12.338, 50.795, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.330,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.037, 0.146, 1.033, -3.906, -0.366, 1.099, , , , , , , 11.069, -12.349, 50.845, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.330,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.043, 0.148, 1.042, -2.563, 1.099, 2.197, , , , , , , 11.03, -12.338, 50.867, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.359,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.049, 0.148, 1.042, -1.648, 2.197, 3.113, , , , , , , 11.003, -12.327, 50.938, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.359,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.055, 0.148, 1.038, -0.732, 1.953, 3.479, , , , , , , 10.981, -12.299, 50.977, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.359,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.062, 0.146, 1.032, 0.183, 1.404, 3.235, , , , , , , 10.975, -12.288, 51.059, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.359,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.071, 0.144, 1.024, 0.793, 0.854, 3.052, , , , , , , 10.97, -12.272, 51.092, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.388,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.083, 0.14, 1.019, 1.404, 0.122, 3.113, , , , , , , 10.975, -12.277, 51.169, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.388,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.097, 0.141, 1.017, 1.221, -0.366, 2.93, , , , , , , 10.981, -12.272, 51.202, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.388,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.104, 0.142, 1.012, 0.793, -0.122, 1.648, , , , , , , 10.986, -12.283, 51.268, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
 13:51:31.388,d0:1c:1b:3a:ee:9d, 2015-01-01 01:50:06.675, 0.109, 0.142, 1.003, 0.427, -1.343, -0.427, , , , , , , 10.986, -12.277, 51.279, -1.500, -43.100, -25.427, 30.61, 0.89053, 0.11197, -0.01611, 0.44049,
