Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:58:32.106,d0:1c:1b:3a:ee:9d, 2015-01-01 01:57:04.265, 0.106, -0.073, 1.016, -0.122, 0.61, -0.61, , , , , , , -2.56, -12.497, -173.249, 4.200, -34.800, -32.047, 31.05, -0.07285, 0.0575, -0.02826, 0.99524,
 13:58:32.106,d0:1c:1b:3a:ee:9d, 2015-01-01 01:57:04.265, 0.109, -0.07, 1.015, -0.305, -0.061, -0.793, , , , , , , -2.571, -12.497, -173.249, 4.200, -34.800, -32.047, 31.05, -0.07285, 0.0575, -0.02826, 0.99524,
 13:58:32.106,d0:1c:1b:3a:ee:9d, 2015-01-01 01:57:04.265, 0.113, -0.07, 1.016, 0.122, -0.305, -1.343, , , , , , , -2.582, -12.502, -173.331, 4.200, -34.800, -32.047, 31.05, -0.07285, 0.0575, -0.02826, 0.99524,
 13:58:32.106,d0:1c:1b:3a:ee:9d, 2015-01-01 01:57:04.265, 0.113, -0.07, 1.02, 0.305, 0.366, -1.587, , , , , , , -2.587, -12.502, -173.342, 4.200, -34.800, -32.047, 31.05, -0.07285, 0.0575, -0.02826, 0.99524,
 13:58:32.136,d0:1c:1b:3a:ee:9d, 2015-01-01 01:57:04.265, 0.111, -0.068, 1.023, 0.366, 0.427, -1.16, , , , , , , -2.587, -12.502, -173.425, 4.200, -34.800, -32.047, 31.05, -0.05698, 0.05615, -0.02805, 0.99634,
 13:58:32.136,d0:1c:1b:3a:ee:9d, 2015-01-01 01:57:04.265, 0.112, -0.065, 1.026, 0.549, -0.061, -0.671, , , , , , , -2.587, -12.502, -173.425, 4.200, -34.800, -32.047, 31.05, -0.05698, 0.05615, -0.02805, 0.99634,
 13:58:32.136,d0:1c:1b:3a:ee:9d, 2015-01-01 01:57:04.265, 0.113, -0.065, 1.026, 1.282, -0.061, -0.183, , , , , , , -2.587, -12.508, -173.502, 4.200, -34.800, -32.047, 31.05, -0.05698, 0.05615, -0.02805, 0.99634,
 13:58:32.136,d0:1c:1b:3a:ee:9d, 2015-01-01 01:57:04.265, 0.113, -0.067, 1.027, 2.197, 0.244, 0, , , , , , , -2.576, -12.508, -173.491, 4.200, -34.800, -32.047, 31.05, -0.05698, 0.05615, -0.02805, 0.99634,
 13:58:32.166,d0:1c:1b:3a:ee:9d, 2015-01-01 01:57:04.265, 0.118, -0.065, 1.027, 2.686, 0, -0.061, , , , , , , -2.56, -12.508, -173.557, 4.200, -34.800, -32.047, 31.05, -0.05698, 0.05615, -0.02805, 0.99634,
 13:58:32.166,d0:1c:1b:3a:ee:9d, 2015-01-01 01:57:04.265, 0.12, -0.066, 1.027, 3.113, 0, -0.244, , , , , , , -2.538, -12.508, -173.546, 4.200, -34.800, -32.047, 31.05, -0.05698, 0.05615, -0.02805, 0.99634,
