Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:52:57.591,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.023, -0.172, 1.006, -0.793, 0.244, -0.183, , , , , , , -8.481, -7.24, -138.472, -4.700, -22.300, -28.367, 30.61, 0.35287, -0.03741, 0.07404, -0.93192,
 12:52:57.591,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.02, -0.173, 1.006, -0.977, 0.244, -0.427, , , , , , , -8.481, -7.24, -138.472, -4.700, -22.300, -28.367, 30.61, 0.35287, -0.03741, 0.07404, -0.93192,
 12:52:57.591,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.018, -0.174, 1.007, -1.038, -0.122, -0.793, , , , , , , -8.481, -7.24, -138.472, -4.700, -22.300, -28.367, 30.61, 0.35287, -0.03741, 0.07404, -0.93192,
 12:52:57.591,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.015, -0.176, 1.01, -0.916, -0.366, -0.793, , , , , , , -8.487, -7.24, -138.472, -4.700, -22.300, -28.367, 30.61, 0.35287, -0.03741, 0.07404, -0.93192,
 12:52:57.621,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.015, -0.178, 1.014, -0.61, -0.244, -0.671, , , , , , , -8.487, -7.234, -138.472, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.621,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.015, -0.178, 1.017, -0.183, 0.061, -0.427, , , , , , , -8.487, -7.234, -138.472, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.621,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.014, -0.177, 1.019, 0.366, 0.549, -0.305, , , , , , , -8.487, -7.234, -138.477, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.621,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.013, -0.176, 1.019, 0.732, 0.793, -0.122, , , , , , , -8.487, -7.234, -138.477, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.650,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.013, -0.176, 1.017, 1.038, 0.671, 0.122, , , , , , , -8.487, -7.234, -138.477, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.650,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.016, -0.176, 1.013, 1.221, 0.244, 0.305, , , , , , , -8.487, -7.234, -138.477, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.650,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.018, -0.174, 1.009, 1.282, 0.244, 0.305, , , , , , , -8.487, -7.234, -138.483, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.650,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:25.658, 0.019, -0.169, 1.004, 0.732, 0.366, 0.122, , , , , , , -8.487, -7.234, -138.483, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.710,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:26.048, 0.02, -0.168, 1, 0.122, 0.122, 0, , , , , , , -8.487, -7.234, -138.483, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.710,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:26.048, 0.021, -0.168, 1, -0.366, 0, 0, , , , , , , -8.492, -7.234, -138.483, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.710,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:26.048, 0.018, -0.169, 1.002, -0.916, 0.122, 0, , , , , , , -8.492, -7.234, -138.483, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.710,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:26.048, 0.016, -0.172, 1.005, -0.977, -0.122, -0.183, , , , , , , -8.492, -7.234, -138.483, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.741,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:26.048, 0.017, -0.175, 1.01, -0.61, -0.671, -0.305, , , , , , , -8.492, -7.234, -138.488, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.741,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:26.048, 0.02, -0.177, 1.017, -0.305, -0.61, -0.183, , , , , , , -8.492, -7.234, -138.488, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
 12:52:57.741,d0:1c:1b:3a:ee:9d, 2025-10-17 12:25:26.048, 0.022, -0.18, 1.021, 0.244, 0, 0, , , , , , , -8.492, -7.234, -138.488, -4.700, -22.300, -28.367, 30.61, 0.3526, -0.03735, 0.0744, -0.93201,
