Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:56:58.766,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.055, 0.021, 1.04, -1.709, 2.38, 1.282, , , , , , , 2.499, -9.003, -152.342, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.767,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.046, 0.02, 1.037, -0.793, 2.502, 1.404, , , , , , , 2.477, -8.981, -152.325, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.767,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.042, 0.02, 1.032, 0, 1.648, 1.465, , , , , , , 2.472, -8.959, -152.314, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.767,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.045, 0.023, 1.027, 0.244, 0.61, 1.404, , , , , , , 2.466, -8.954, -152.298, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.822,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.042, 0.025, 1.024, 0.305, 0, 1.343, , , , , , , 2.466, -8.954, -152.287, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.822,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.039, 0.026, 1.021, 0.427, -1.16, 1.221, , , , , , , 2.466, -8.959, -152.276, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.822,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.044, 0.028, 1.02, 0.427, -2.747, 0.854, , , , , , , 2.466, -8.981, -152.271, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.822,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.049, 0.03, 1.021, -0.061, -2.93, 0.732, , , , , , , 2.466, -9.014, -152.26, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.854,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.05, 0.027, 1.021, -0.061, -2.258, 0.793, , , , , , , 2.461, -9.042, -152.26, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.854,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.05, 0.022, 1.024, 0.366, -1.648, 0.916, , , , , , , 2.455, -9.064, -152.249, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.854,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.048, 0.021, 1.028, 0.671, -0.854, 1.221, , , , , , , 2.461, -9.08, -152.243, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.854,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.045, 0.021, 1.031, 0.916, -0.488, 1.587, , , , , , , 2.461, -9.086, -152.227, -8.300, -27.900, -26.760, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.884,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.046, 0.02, 1.03, 1.343, -0.793, 1.709, , , , , , , 2.472, -9.097, -152.216, -10.300, -29.800, -26.893, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.884,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.047, 0.017, 1.029, 2.075, -1.038, 1.77, , , , , , , 2.483, -9.108, -152.199, -10.300, -29.800, -26.893, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.884,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.048, 0.014, 1.032, 3.174, -0.916, 2.075, , , , , , , 2.505, -9.119, -152.183, -10.300, -29.800, -26.893, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.884,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.05, 0.016, 1.037, 4.211, -0.488, 2.563, , , , , , , 2.538, -9.13, -152.161, -10.300, -29.800, -26.893, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.944,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.049, 0.022, 1.037, 4.395, 0.305, 2.93, , , , , , , 2.576, -9.13, -152.133, -10.300, -29.800, -26.893, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.944,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.049, 0.024, 1.035, 4.578, 0.488, 3.296, , , , , , , 2.615, -9.13, -152.106, -10.300, -29.800, -26.893, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.944,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.051, 0.023, 1.031, 5.005, 1.038, 3.601, , , , , , , 2.659, -9.124, -152.073, -10.300, -29.800, -26.893, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.944,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.048, 0.021, 1.029, 5.615, 2.014, 4.639, , , , , , , 2.708, -9.113, -152.029, -10.300, -29.800, -26.893, 30.7, 0.2356, -0.01813, -0.02374, -0.97134,
 12:56:58.973,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.046, 0.022, 1.029, 6.165, 2.441, 5.249, , , , , , , 2.763, -9.091, -151.985, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:58.973,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.046, 0.027, 1.027, 6.226, 2.808, 5.676, , , , , , , 2.818, -9.069, -151.924, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:58.973,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.045, 0.03, 1.026, 6.042, 3.296, 5.92, , , , , , , 2.873, -9.042, -151.87, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:58.973,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.041, 0.031, 1.025, 6.104, 3.845, 6.47, , , , , , , 2.928, -9.009, -151.809, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.003,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.039, 0.03, 1.027, 6.653, 4.333, 7.507, , , , , , , 2.983, -8.97, -151.738, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.003,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.041, 0.031, 1.034, 6.714, 6.348, 8.85, , , , , , , 3.043, -8.921, -151.655, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.003,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.033, 0.035, 1.037, 6.592, 8.667, 10.742, , , , , , , 3.104, -8.849, -151.556, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.003,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.333, 0.028, 0.034, 1.032, 7.019, 8.057, 12.268, , , , , , , 3.159, -8.767, -151.441, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.065,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.026, 0.033, 1.027, 7.812, 6.897, 13.367, , , , , , , 3.224, -8.701, -151.309, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.065,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.025, 0.037, 1.026, 8.179, 6.165, 13.855, , , , , , , 3.296, -8.641, -151.172, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.065,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.033, 0.041, 1.026, 8.85, 4.15, 13.306, , , , , , , 3.373, -8.597, -151.04, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.065,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.042, 0.043, 1.026, 9.338, 3.296, 12.573, , , , , , , 3.455, -8.569, -150.908, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.093,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.045, 0.049, 1.025, 9.094, 2.93, 11.719, , , , , , , 3.543, -8.547, -150.787, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.093,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.049, 0.055, 1.021, 8.423, 1.648, 10.01, , , , , , , 3.62, -8.525, -150.677, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.093,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.058, 0.06, 1.013, 7.568, 0.244, 7.751, , , , , , , 3.697, -8.525, -150.595, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.093,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.065, 0.059, 1.003, 6.348, 0, 5.981, , , , , , , 3.757, -8.531, -150.529, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.123,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.066, 0.058, 0.997, 5.066, 0.305, 4.761, , , , , , , 3.807, -8.531, -150.48, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.123,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.065, 0.059, 0.992, 3.235, 0, 3.662, , , , , , , 3.845, -8.531, -150.436, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.123,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.063, 0.06, 0.988, 1.038, -0.916, 2.686, , , , , , , 3.862, -8.542, -150.414, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.123,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.064, 0.059, 0.989, -0.671, -1.953, 1.892, , , , , , , 3.856, -8.558, -150.392, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.183,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.068, 0.056, 0.996, -2.075, -2.869, 0.977, , , , , , , 3.834, -8.586, -150.381, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.183,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.07, 0.056, 1.004, -3.357, -3.174, 0, , , , , , , 3.807, -8.619, -150.381, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.183,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.071, 0.056, 1.01, -4.761, -3.113, -0.916, , , , , , , 3.757, -8.652, -150.386, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.183,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.074, 0.055, 1.013, -5.554, -3.052, -2.014, , , , , , , 3.702, -8.685, -150.408, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.213,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.074, 0.054, 1.015, -6.47, -2.075, -3.357, , , , , , , 3.642, -8.712, -150.441, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.213,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.067, 0.051, 1.016, -6.958, -1.221, -4.395, , , , , , , 3.571, -8.723, -150.48, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.213,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.059, 0.045, 1.019, -7.08, -1.221, -5.066, , , , , , , 3.499, -8.734, -150.535, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
 12:56:59.213,d0:1c:1b:3a:ee:9d, 2025-10-17 12:29:25.693, 0.052, 0.043, 1.021, -7.385, -1.587, -5.554, , , , , , , 3.422, -8.751, -150.59, -10.300, -29.800, -26.893, 30.7, 0.24124, -0.02097, -0.01959, -0.97,
