Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:41:59.894,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.119, -0.026, 1.016, -0.549, -1.221, -0.549, , , , , , , -0.467, -13.651, -169.453, -9.400, -22.300, -27.367, 30.75, 0.09225, -0.06476, 0.0062, -0.99356,
 13:41:59.894,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.123, -0.026, 1.022, -0.549, -3.906, -0.916, , , , , , , -0.478, -13.683, -169.464, -9.400, -22.300, -27.367, 30.75, 0.09225, -0.06476, 0.0062, -0.99356,
 13:41:59.894,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.13, -0.033, 1.03, 0.427, -5.188, -0.916, , , , , , , -0.483, -13.733, -169.47, -9.400, -22.300, -27.367, 30.75, 0.09225, -0.06476, 0.0062, -0.99356,
 13:41:59.894,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.136, -0.039, 1.037, 1.77, -4.761, -0.977, , , , , , , -0.478, -13.782, -169.481, -9.400, -22.300, -27.367, 30.75, 0.09225, -0.06476, 0.0062, -0.99356,
 13:41:59.924,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.137, -0.04, 1.039, 2.686, -3.052, -1.16, , , , , , , -0.461, -13.826, -169.492, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:41:59.924,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.136, -0.038, 1.033, 3.052, -1.038, -1.465, , , , , , , -0.434, -13.843, -169.508, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:41:59.924,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.133, -0.037, 1.023, 3.113, 0.488, -1.648, , , , , , , -0.406, -13.848, -169.525, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:41:59.924,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.13, -0.036, 1.015, 2.93, 1.953, -1.221, , , , , , , -0.379, -13.837, -169.541, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:41:59.955,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.127, -0.035, 1.008, 2.38, 3.052, -0.366, , , , , , , -0.357, -13.81, -169.552, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:41:59.955,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.124, -0.036, 1.006, 2.563, 3.357, 0, , , , , , , -0.341, -13.782, -169.552, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:41:59.955,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.119, -0.033, 1.006, 2.38, 2.441, -0.183, , , , , , , -0.319, -13.749, -169.557, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:41:59.955,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.113, 0.119, -0.028, 1.004, 1.465, 0, -0.305, , , , , , , -0.308, -13.738, -169.563, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.014,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.125, -0.027, 1.004, 0.671, -2.136, -0.244, , , , , , , -0.302, -13.755, -169.563, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.014,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.132, -0.028, 1.008, 0.305, -2.747, -0.061, , , , , , , -0.302, -13.782, -169.568, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.014,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.136, -0.029, 1.012, 0.183, -2.075, 0, , , , , , , -0.308, -13.81, -169.568, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.014,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.136, -0.028, 1.015, 0.305, -0.488, -0.061, , , , , , , -0.308, -13.821, -169.568, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.043,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.132, -0.025, 1.017, -0.061, 0.732, -0.427, , , , , , , -0.313, -13.821, -169.574, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.043,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.128, -0.024, 1.019, -0.122, 0.977, -0.732, , , , , , , -0.319, -13.815, -169.579, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.043,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.126, -0.025, 1.023, 0.549, 0.916, -0.977, , , , , , , -0.324, -13.804, -169.59, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.043,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.125, -0.022, 1.025, 0.793, 0.122, -1.16, , , , , , , -0.319, -13.799, -169.601, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.073,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.128, -0.023, 1.027, 1.099, -0.732, -1.343, , , , , , , -0.313, -13.804, -169.618, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.073,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.13, -0.026, 1.029, 2.319, -0.488, -1.282, , , , , , , -0.302, -13.815, -169.629, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.073,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.128, -0.024, 1.027, 2.869, 0.244, -1.282, , , , , , , -0.275, -13.815, -169.645, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.073,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.125, -0.019, 1.021, 2.686, 0.793, -1.16, , , , , , , -0.253, -13.815, -169.662, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.134,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.122, -0.015, 1.012, 1.892, 1.282, -0.793, , , , , , , -0.236, -13.804, -169.673, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.137,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.118, -0.014, 1.003, 1.038, 1.221, -0.427, , , , , , , -0.225, -13.793, -169.678, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.137,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.117, -0.015, 0.997, 0.244, 0.366, -0.122, , , , , , , -0.225, -13.782, -169.684, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.137,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.121, -0.016, 0.995, -0.427, -1.099, -0.183, , , , , , , -0.231, -13.788, -169.684, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
 13:42:00.163,d0:1c:1b:3a:ee:9d, 2025-10-17 13:14:07.533, 0.125, -0.021, 1.001, -0.122, -1.77, -0.549, , , , , , , -0.242, -13.804, -169.689, -9.400, -22.300, -27.367, 30.75, 0.09076, -0.06567, 0.00705, -0.99362,
