Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:58:51.769,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.111, -0.016, 1.025, 0.244, 1.099, 1.77, , , , , , , 1.099, -12.651, -153.336, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.770,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.106, -0.015, 1.018, -0.061, 1.953, 1.77, , , , , , , 1.088, -12.634, -153.314, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.770,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.103, -0.013, 1.01, -0.854, 1.77, 1.892, , , , , , , 1.077, -12.618, -153.298, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.770,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.102, -0.012, 1.004, -2.319, 1.77, 2.136, , , , , , , 1.049, -12.601, -153.281, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.801,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.1, -0.016, 1.002, -3.174, 1.282, 2.747, , , , , , , 1.016, -12.585, -153.259, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.801,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.099, -0.02, 1.006, -3.601, 0.61, 3.357, , , , , , , 0.972, -12.574, -153.226, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.801,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.101, -0.021, 1.013, -3.784, 0, 3.784, , , , , , , 0.928, -12.574, -153.193, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.801,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.108, -0.021, 1.024, -3.601, 0.122, 3.54, , , , , , , 0.879, -12.574, -153.155, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.801,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.113, -0.023, 1.035, -2.625, 1.465, 2.991, , , , , , , 0.84, -12.568, -153.122, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.801,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.112, -0.024, 1.042, -1.221, 2.502, 2.563, , , , , , , 0.807, -12.546, -153.094, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.801,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.107, -0.024, 1.044, 0.183, 2.93, 1.892, , , , , , , 0.797, -12.519, -153.078, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
 13:58:51.801,d0:1c:1b:3a:ee:9d, 2025-10-17 13:30:51.888, 0.103, -0.027, 1.042, 2.075, 2.38, 1.404, , , , , , , 0.802, -12.491, -153.062, -10.700, -32.400, -30.273, 29.17, 0.2247, -0.05606, -0.01904, -0.97256,
