Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:49:10.185,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.179, -0.052, 0.992, 5.859, 2.563, -19.653, , , , , , , -1.044, -13.123, -101.321, -55.000, -8.500, -23.993, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.188,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.173, -0.051, 0.989, 5.371, 1.099, -25.33, , , , , , , -0.972, -13.112, -101.547, -55.000, -8.500, -23.993, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.188,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.175, -0.042, 0.996, 4.395, -2.502, -31.555, , , , , , , -0.89, -13.134, -101.838, -55.000, -8.500, -23.993, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.188,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.176, -0.037, 1.004, 2.869, -5.188, -35.95, , , , , , , -0.824, -13.189, -102.184, -55.000, -8.500, -23.993, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.214,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.169, -0.038, 1.007, 2.136, -4.883, -37.292, , , , , , , -0.758, -13.255, -102.552, -58.100, -9.700, -21.480, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.214,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.145, -0.037, 1.005, 1.526, -1.709, -36.377, , , , , , , -0.703, -13.299, -102.925, -58.100, -9.700, -21.480, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.214,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.112, -0.028, 0.996, 0.305, 0.854, -35.034, , , , , , , -0.654, -13.315, -103.282, -58.100, -9.700, -21.480, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.214,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.086, -0.015, 0.984, -2.563, 0.305, -33.813, , , , , , , -0.626, -13.321, -103.629, -58.100, -9.700, -21.480, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.251,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.079, -0.004, 0.972, -7.507, -1.526, -32.776, , , , , , , -0.643, -13.337, -103.964, -58.100, -9.700, -21.480, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.251,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.087, -0.002, 0.962, -12.695, -4.333, -31.982, , , , , , , -0.714, -13.376, -104.288, -58.100, -9.700, -21.480, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.251,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.106, -0.007, 0.951, -18.188, -7.751, -32.593, , , , , , , -0.835, -13.447, -104.612, -58.100, -9.700, -21.480, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.251,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.131, -0.015, 0.94, -23.804, -11.108, -33.752, , , , , , , -1.016, -13.563, -104.941, -58.100, -9.700, -21.480, 27.17, 0.65195, -0.05142, -0.01553, -0.75629,
 14:49:10.274,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.148, -0.021, 0.942, -29.419, -10.925, -34.546, , , , , , , -1.247, -13.689, -105.287, -58.100, -9.700, -21.480, 27.17, 0.60687, -0.06131, -0.02475, -0.79199,
 14:49:10.274,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.166, -0.039, 0.968, -31.616, -9.949, -32.104, , , , , , , -1.522, -13.81, -105.617, -58.100, -9.700, -21.480, 27.17, 0.60687, -0.06131, -0.02475, -0.79199,
 14:49:10.274,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.169, -0.053, 1.003, -31.25, -2.014, -27.039, , , , , , , -1.802, -13.887, -105.914, -58.100, -9.700, -21.480, 27.17, 0.60687, -0.06131, -0.02475, -0.79199,
 14:49:10.274,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.15, -0.067, 1.034, -28.87, 6.653, -20.142, , , , , , , -2.076, -13.87, -106.15, -58.100, -9.700, -21.480, 27.17, 0.60687, -0.06131, -0.02475, -0.79199,
 14:49:10.335,d0:1c:1b:3a:ee:9d, 2025-10-17 14:20:49.008, 0.125, -0.079, 1.057, -25.085, 11.902, -14.526, , , , , , , -2.329, -13.782, -106.326, -58.100, -9.700, -21.480, 27.17, 0.60687, -0.06131, -0.02475, -0.79199,
