Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 20:18:38.159,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:06.265, 0.071, -0.027, 1.023, -1.526, 0.671, -0.977, , , , , , , 0.654, -12.305, -37.892, 4.700, -12.900, -24.907, 26.24, 0.94556, -0.02304, -0.0546, -0.31989,
 20:18:38.160,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:06.265, 0.076, -0.03, 1.027, -1.343, 1.77, -1.282, , , , , , , 0.632, -12.294, -37.903, 4.700, -12.900, -24.907, 26.24, 0.94556, -0.02304, -0.0546, -0.31989,
 20:18:38.160,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:06.265, 0.073, -0.03, 1.03, -0.977, 3.723, -1.831, , , , , , , 0.615, -12.272, -37.919, 4.700, -12.900, -24.907, 26.24, 0.94556, -0.02304, -0.0546, -0.31989,
 20:18:38.160,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:06.265, 0.061, -0.029, 1.029, -0.793, 4.822, -2.625, , , , , , , 0.604, -12.228, -37.941, 4.700, -12.900, -24.907, 26.24, 0.94556, -0.02304, -0.0546, -0.31989,
 20:18:38.220,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:06.265, 0.053, -0.027, 1.024, -1.038, 4.089, -3.418, , , , , , , 0.593, -12.195, -37.974, 4.700, -12.900, -24.907, 26.24, 0.94556, -0.02304, -0.0546, -0.31989,
 20:18:38.220,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:06.265, 0.054, -0.026, 1.023, -1.16, 3.052, -3.723, , , , , , , 0.577, -12.156, -38.013, 4.700, -12.900, -24.907, 26.24, 0.94556, -0.02304, -0.0546, -0.31989,
 20:18:38.220,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:06.265, 0.06, -0.027, 1.026, -1.16, 3.601, -3.784, , , , , , , 0.566, -12.134, -38.046, 4.700, -12.900, -24.907, 26.24, 0.94556, -0.02304, -0.0546, -0.31989,
 20:18:38.220,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:06.265, 0.056, -0.028, 1.031, -1.099, 5.615, -3.784, , , , , , , 0.549, -12.09, -38.09, 4.700, -12.900, -24.907, 26.24, 0.94556, -0.02304, -0.0546, -0.31989,
 20:18:38.248,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:06.265, 0.042, -0.03, 1.031, -0.977, 6.714, -3.54, , , , , , , 0.538, -12.03, -38.123, 3.400, -10.200, -25.513, 26.24, 0.94556, -0.02304, -0.0546, -0.31989,
 20:18:38.248,d0:1c:1b:3a:ee:9d, 2015-01-01 00:02:06.265, 0.031, -0.03, 1.027, -1.099, 5.615, -3.296, , , , , , , 0.527, -11.97, -38.161, 3.400, -10.200, -25.513, 26.24, 0.94556, -0.02304, -0.0546, -0.31989,
