Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 18:54:38.627,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.03, 0.102, 0.993, -25.635, -7.568, -3.845, , , , , , , 8.762, -9.113, 169.349, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.629,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.024, 0.093, 0.999, -25.391, -7.141, -2.93, , , , , , , 8.509, -9.185, 169.31, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.629,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.03, 0.09, 1.009, -24.719, -7.385, -2.319, , , , , , , 8.256, -9.25, 169.277, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.629,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.041, 0.093, 1.023, -24.292, -6.409, -0.488, , , , , , , 8.009, -9.322, 169.255, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.657,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.047, 0.09, 1.038, -23.621, -3.479, 2.441, , , , , , , 7.767, -9.371, 169.261, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.657,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.048, 0.083, 1.052, -21.545, -0.671, 4.395, , , , , , , 7.537, -9.399, 169.299, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.657,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.038, 0.077, 1.055, -18.982, 0.671, 4.639, , , , , , , 7.328, -9.399, 169.343, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.657,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.035, 0.077, 1.045, -17.761, -1.404, 3.662, , , , , , , 7.147, -9.404, 169.387, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.720,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.052, 0.076, 1.036, -16.968, -5.554, 2.625, , , , , , , 6.965, -9.448, 169.415, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.720,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.07, 0.074, 1.032, -16.724, -6.409, 2.869, , , , , , , 6.795, -9.514, 169.442, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.720,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.081, 0.066, 1.038, -15.93, -3.723, 3.235, , , , , , , 6.625, -9.569, 169.47, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.720,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.078, 0.061, 1.042, -14.709, -0.122, 3.418, , , , , , , 6.471, -9.591, 169.503, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.747,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.069, 0.063, 1.04, -13.977, 2.38, 2.747, , , , , , , 6.323, -9.586, 169.536, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.747,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.066, 0.072, 1.029, -15.137, 3.113, 2.258, , , , , , , 6.174, -9.558, 169.563, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.747,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.056, 0.078, 1.017, -17.517, 3.845, 3.174, , , , , , , 6.004, -9.525, 169.596, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.747,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.047, 0.077, 1.004, -19.836, 2.808, 3.296, , , , , , , 5.817, -9.492, 169.634, -1.100, -10.800, -26.353, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.778,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.057, 0.072, 0.994, -22.339, -0.488, 2.441, , , , , , , 5.598, -9.487, 169.667, -0.800, -8.600, -25.800, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.779,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.074, 0.063, 0.996, -23.865, -2.075, 2.197, , , , , , , 5.361, -9.503, 169.689, -0.800, -8.600, -25.800, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.779,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.079, 0.047, 1.006, -22.644, -1.16, 2.625, , , , , , , 5.125, -9.525, 169.711, -0.800, -8.600, -25.800, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.779,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.075, 0.03, 1.014, -20.325, -0.366, 2.258, , , , , , , 4.905, -9.531, 169.733, -0.800, -8.600, -25.800, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.808,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.071, 0.026, 1.022, -18.188, -0.732, 1.404, , , , , , , 4.708, -9.536, 169.755, -0.800, -8.600, -25.800, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.808,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.066, 0.026, 1.033, -15.869, -0.305, 0.305, , , , , , , 4.537, -9.542, 169.761, -0.800, -8.600, -25.800, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.808,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.061, 0.023, 1.044, -13.489, -0.244, -0.549, , , , , , , 4.389, -9.547, 169.761, -0.800, -8.600, -25.800, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.808,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.059, 0.023, 1.055, -11.23, 0.061, -0.977, , , , , , , 4.268, -9.547, 169.755, -0.800, -8.600, -25.800, 30.56, -0.08057, -0.02576, -0.08316, -0.99289,
 18:54:38.868,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.057, 0.028, 1.061, -9.705, 1.221, -0.916, , , , , , , 4.158, -9.542, 169.75, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
 18:54:38.868,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.055, 0.031, 1.062, -8.667, 2.502, -0.488, , , , , , , 4.07, -9.525, 169.75, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
 18:54:38.868,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.051, 0.029, 1.058, -7.568, 3.54, -0.244, , , , , , , 3.983, -9.492, 169.744, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
 18:54:38.868,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.365, 0.049, 0.022, 1.052, -5.676, 3.723, -0.427, , , , , , , 3.917, -9.454, 169.75, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
 18:54:38.898,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.720, 0.048, 0.014, 1.047, -2.808, 2.808, -1.099, , , , , , , 3.873, -9.426, 169.744, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
 18:54:38.898,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.720, 0.049, 0.013, 1.045, -0.427, 1.953, -1.038, , , , , , , 3.856, -9.399, 169.733, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
 18:54:38.898,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.720, 0.055, 0.015, 1.043, 0.854, 2.075, -0.549, , , , , , , 3.856, -9.382, 169.728, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
 18:54:38.898,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.720, 0.058, 0.019, 1.042, 1.465, 3.174, -0.427, , , , , , , 3.867, -9.355, 169.728, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
 18:54:38.927,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.720, 0.055, 0.027, 1.039, 1.404, 4.639, -0.549, , , , , , , 3.878, -9.316, 169.728, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
 18:54:38.927,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.720, 0.051, 0.029, 1.031, 0.793, 5.005, -0.854, , , , , , , 3.889, -9.267, 169.722, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
 18:54:38.927,d0:1c:1b:3a:ee:9d, 2015-01-01 00:13:57.720, 0.048, 0.026, 1.023, 0.61, 4.517, -0.671, , , , , , , 3.895, -9.218, 169.717, -0.800, -8.600, -25.800, 30.56, -0.08832, -0.03119, -0.02618, -0.99521,
