Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:57:29.167,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.299, 0.063, 0.984, -0.305, -1.343, -0.793, , , , , , , 6.603, -22.698, -173.732, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.168,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.291, 0.068, 0.983, -1.221, -0.916, -1.221, , , , , , , 6.592, -22.703, -173.743, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.168,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.282, 0.067, 0.98, -1.404, -0.488, -1.343, , , , , , , 6.575, -22.714, -173.765, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.168,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.276, 0.062, 0.977, -1.221, -0.671, -1.648, , , , , , , 6.559, -22.72, -173.782, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.275, 0.058, 0.981, -0.61, 0.366, -1.404, , , , , , , 6.548, -22.72, -173.798, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.267, 0.062, 0.991, -0.122, 2.075, -1.221, , , , , , , 6.542, -22.703, -173.815, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.251, 0.069, 0.992, -0.854, 2.625, -0.61, , , , , , , 6.531, -22.681, -173.82, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.176,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.251, 0.07, 0.986, -0.61, 0.732, -0.549, , , , , , , 6.515, -22.665, -173.826, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.198,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.26, 0.07, 0.984, -0.427, -0.977, -1.038, , , , , , , 6.509, -22.665, -173.842, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.198,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.263, 0.071, 0.983, -0.671, -0.977, -1.221, , , , , , , 6.498, -22.676, -173.853, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.198,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.264, 0.064, 0.982, 0.061, -1.648, -1.465, , , , , , , 6.493, -22.687, -173.87, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.198,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.274, 0.064, 0.987, 0.61, -3.784, -1.587, , , , , , , 6.493, -22.72, -173.892, -6.900, -42.400, -31.380, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.261,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.284, 0.073, 0.986, -0.366, -3.357, -1.282, , , , , , , 6.493, -22.753, -173.914, -6.800, -43.300, -29.240, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.261,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.285, 0.069, 0.986, -0.61, -0.977, -1.099, , , , , , , 6.482, -22.775, -173.925, -6.800, -43.300, -29.240, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.261,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.273, 0.06, 0.991, 0.305, 1.099, -0.793, , , , , , , 6.482, -22.775, -173.941, -6.800, -43.300, -29.240, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.261,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.256, 0.059, 0.987, 0.61, 0.977, 0.549, , , , , , , 6.476, -22.758, -173.941, -6.800, -43.300, -29.240, 30.28, -0.04626, 0.14758, 0.04651, 0.98682,
 12:57:29.289,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.25, 0.061, 0.975, 0, -1.587, 1.648, , , , , , , 6.471, -22.764, -173.93, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
 12:57:29.289,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.259, 0.058, 0.974, 0.854, -5.493, 1.465, , , , , , , 6.46, -22.808, -173.914, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
 12:57:29.289,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.274, 0.058, 0.981, 1.892, -7.996, 0.122, , , , , , , 6.471, -22.879, -173.919, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
 12:57:29.289,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.288, 0.069, 0.99, 1.709, -7.446, -0.793, , , , , , , 6.487, -22.956, -173.93, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
 12:57:29.319,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.296, 0.077, 0.994, 0.732, -5.493, -1.16, , , , , , , 6.498, -23.022, -173.952, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
 12:57:29.319,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.296, 0.073, 0.991, 0, -2.808, -0.793, , , , , , , 6.498, -23.066, -173.963, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
 12:57:29.319,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.292, 0.061, 0.985, -0.061, 1.221, 0.61, , , , , , , 6.487, -23.071, -173.969, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
 12:57:29.319,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.685, 0.299, 0.045, 0.972, 0.732, 4.7, 2.869, , , , , , , 6.476, -23.038, -173.947, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
 12:57:29.379,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.985, 0.33, 0.037, 0.963, 1.587, 7.263, 5.981, , , , , , , 6.465, -22.983, -173.897, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
 12:57:29.379,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.985, 0.394, 0.043, 0.963, 3.906, 8.484, 6.958, , , , , , , 6.465, -22.912, -173.815, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
 12:57:29.379,d0:1c:1b:3a:ee:9d, 2015-01-01 01:02:13.985, 0.481, 0.066, 0.951, 6.897, 9.216, 5.127, , , , , , , 6.493, -22.83, -173.749, -6.800, -43.300, -29.240, 30.28, -0.0592, 0.14084, 0.0546, 0.98669,
