Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:58:49.118,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.263, -0.123, 0.957, 3.418, 1.404, 0, , , , , , , -4.999, -22.846, 179.011, -4.100, -32.300, -31.467, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.119,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.266, -0.117, 0.945, 2.075, 1.526, 0.366, , , , , , , -4.982, -22.83, 179.011, -4.100, -32.300, -31.467, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.119,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.279, -0.113, 0.943, 0.305, 2.319, 0.671, , , , , , , -4.977, -22.813, 179.017, -4.100, -32.300, -31.467, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.119,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.299, -0.111, 0.953, -1.221, 3.418, 0.183, , , , , , , -4.988, -22.78, 179.017, -4.100, -32.300, -31.467, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.207,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.313, -0.111, 0.965, -2.563, 5.127, -0.183, , , , , , , -5.015, -22.742, 179.011, -4.100, -32.300, -31.467, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.207,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.316, -0.115, 0.977, -3.174, 6.958, -0.366, , , , , , , -5.048, -22.681, 179, -4.100, -32.300, -31.467, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.207,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.31, -0.123, 0.986, -2.319, 7.202, -1.038, , , , , , , -5.081, -22.61, 178.978, -4.100, -32.300, -31.467, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.207,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.301, -0.122, 0.984, -1.587, 6.165, -2.747, , , , , , , -5.098, -22.544, 178.951, -4.100, -32.300, -31.467, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.210,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.295, -0.114, 0.982, -0.427, 5.127, -4.578, , , , , , , -5.098, -22.495, 178.901, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.210,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.282, -0.109, 0.982, -0.183, 4.639, -5.981, , , , , , , -5.092, -22.451, 178.841, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.210,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.268, -0.108, 0.973, -1.465, 3.54, -7.324, , , , , , , -5.087, -22.418, 178.764, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.210,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.26, -0.115, 0.966, -3.235, 3.967, -6.775, , , , , , , -5.098, -22.39, 178.687, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.236,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.25, -0.117, 0.96, -5.676, 6.348, -6.409, , , , , , , -5.125, -22.341, 178.61, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.236,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.241, -0.119, 0.952, -6.897, 5.493, -6.409, , , , , , , -5.18, -22.291, 178.539, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.236,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.231, -0.138, 0.96, -6.287, 4.7, -4.272, , , , , , , -5.235, -22.247, 178.473, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.236,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.239, -0.147, 0.976, -4.456, 1.831, -2.502, , , , , , , -5.284, -22.22, 178.434, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.297,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.257, -0.144, 0.991, -3.54, 1.221, -1.282, , , , , , , -5.328, -22.209, 178.412, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.297,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.265, -0.142, 1.009, -2.502, 2.014, -0.671, , , , , , , -5.361, -22.198, 178.401, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.297,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.256, -0.142, 1.015, -1.221, 2.625, -1.221, , , , , , , -5.383, -22.17, 178.385, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.297,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.246, -0.146, 1.01, 1.099, 1.343, -2.197, , , , , , , -5.383, -22.154, 178.363, -4.600, -29.400, -31.667, 30.41, 0.01175, 0.14389, -0.05222, 0.9881,
 12:58:49.329,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.24, -0.147, 1.007, 3.296, -1.221, -2.808, , , , , , , -5.356, -22.159, 178.336, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.329,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.241, -0.136, 1.002, 3.784, -4.089, -2.197, , , , , , , -5.323, -22.192, 178.314, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.329,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.255, -0.13, 1, 3.967, -4.7, -1.16, , , , , , , -5.284, -22.242, 178.297, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.329,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.267, -0.13, 1, 5.188, -2.441, -0.061, , , , , , , -5.246, -22.28, 178.292, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.365,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.26, -0.124, 0.994, 5.005, 0.732, 1.404, , , , , , , -5.202, -22.286, 178.297, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.365,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.258, -0.118, 0.981, 4.761, 1.77, 2.38, , , , , , , -5.169, -22.264, 178.319, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.365,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.264, -0.12, 0.967, 5.127, 1.404, 2.197, , , , , , , -5.131, -22.247, 178.341, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.365,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.040, 0.268, -0.122, 0.962, 5.371, 2.625, 2.136, , , , , , , -5.092, -22.225, 178.363, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.422,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.267, -0.123, 0.96, 5.249, 2.808, 1.831, , , , , , , -5.048, -22.198, 178.374, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.422,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.265, -0.117, 0.961, 3.54, 1.587, 1.587, , , , , , , -5.015, -22.17, 178.391, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.422,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.264, -0.112, 0.968, 1.831, -0.122, 1.221, , , , , , , -4.999, -22.165, 178.407, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.422,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.272, -0.111, 0.973, 0.732, -1.404, -0.061, , , , , , , -4.999, -22.176, 178.412, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.448,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.288, -0.109, 0.978, -0.488, -1.587, -0.977, , , , , , , -4.999, -22.192, 178.407, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.448,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.29, -0.107, 0.983, -1.831, 0.305, -0.671, , , , , , , -5.021, -22.203, 178.396, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.448,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.283, -0.11, 0.98, -2.563, 2.93, -0.732, , , , , , , -5.043, -22.187, 178.385, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.448,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.276, -0.118, 0.968, -2.747, 3.357, -0.671, , , , , , , -5.076, -22.154, 178.374, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.538,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.28, -0.134, 0.959, -1.648, 2.258, -0.366, , , , , , , -5.103, -22.126, 178.363, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.538,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.282, -0.145, 0.971, 0.305, 2.38, -0.549, , , , , , , -5.114, -22.104, 178.358, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.538,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.278, -0.134, 0.99, 1.343, 3.357, -0.427, , , , , , , -5.109, -22.077, 178.341, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
 12:58:49.538,d0:1c:1b:3a:ee:9d, 2015-01-01 01:03:33.460, 0.27, -0.123, 0.998, 1.038, 5.127, -0.732, , , , , , , -5.103, -22.039, 178.33, -4.600, -29.400, -31.667, 30.41, 0.02148, 0.13766, -0.05704, 0.98856,
