Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:58:01.805,d0:1c:1b:3a:ee:9d, 2015-01-01 01:56:34.420, 0.062, 0.08, 0.975, -61.768, 10.986, -7.751, , , , , , , 5.609, -8.97, -93.615, -4.300, -47.100, -30.907, 31.02, 0.68512, 0.02545, -0.07013, -0.72452,
 13:58:01.805,d0:1c:1b:3a:ee:9d, 2015-01-01 01:56:34.420, 0.059, 0.061, 0.998, -64.514, 12.329, -7.446, , , , , , , 4.971, -8.849, -93.68, -4.300, -47.100, -30.907, 31.02, 0.68512, 0.02545, -0.07013, -0.72452,
 13:58:01.805,d0:1c:1b:3a:ee:9d, 2015-01-01 01:56:34.420, 0.052, 0.046, 1.013, -67.322, 15.015, -6.348, , , , , , , 4.307, -8.707, -93.757, -4.300, -47.100, -30.907, 31.02, 0.68512, 0.02545, -0.07013, -0.72452,
 13:58:01.805,d0:1c:1b:3a:ee:9d, 2015-01-01 01:56:34.420, 0.035, 0.032, 1.015, -69.641, 17.212, -5.127, , , , , , , 3.615, -8.547, -93.807, -4.300, -47.100, -30.907, 31.02, 0.68512, 0.02545, -0.07013, -0.72452,
 13:58:01.836,d0:1c:1b:3a:ee:9d, 2015-01-01 01:56:34.420, 0.024, 0.015, 1.014, -70.312, 15.869, -4.333, , , , , , , 2.911, -8.372, -93.862, -4.300, -47.100, -30.907, 31.02, 0.68512, 0.02545, -0.07013, -0.72452,
 13:58:01.836,d0:1c:1b:3a:ee:9d, 2015-01-01 01:56:34.420, 0.025, 0.004, 1.018, -70.496, 12.695, -4.456, , , , , , , 2.203, -8.234, -93.9, -4.300, -47.100, -30.907, 31.02, 0.68512, 0.02545, -0.07013, -0.72452,
 13:58:01.836,d0:1c:1b:3a:ee:9d, 2015-01-01 01:56:34.420, 0.032, 0, 1.019, -71.35, 10.803, -5.615, , , , , , , 1.489, -8.113, -93.966, -4.300, -47.100, -30.907, 31.02, 0.68512, 0.02545, -0.07013, -0.72452,
 13:58:01.836,d0:1c:1b:3a:ee:9d, 2015-01-01 01:56:34.420, 0.04, -0.007, 1.025, -71.533, 10.071, -7.324, , , , , , , 0.775, -8.015, -94.026, -4.300, -47.100, -30.907, 31.02, 0.68512, 0.02545, -0.07013, -0.72452,
 13:58:01.896,d0:1c:1b:3a:ee:9d, 2015-01-01 01:56:34.420, 0.041, -0.016, 1.035, -71.35, 11.047, -9.094, , , , , , , 0.06, -7.91, -94.125, -4.300, -47.100, -30.907, 31.02, 0.68512, 0.02545, -0.07013, -0.72452,
 13:58:01.896,d0:1c:1b:3a:ee:9d, 2015-01-01 01:56:34.420, 0.034, -0.027, 1.039, -71.106, 12.756, -10.193, , , , , , , -0.659, -7.795, -94.23, -4.300, -47.100, -30.907, 31.02, 0.68512, 0.02545, -0.07013, -0.72452,
