Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:04:42.483,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.055, -0.473, 1.452, -86.487, 14.465, -34.79, , , , , , , -14.749, -3.779, -162.96, 1.200, -55.000, -15.667, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.483,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.106, -0.49, 1.384, -56.03, 20.264, -23.071, , , , , , , -15.469, -3.68, -163.284, 1.200, -55.000, -15.667, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.483,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.15, -0.499, 1.334, -24.658, 19.287, -14.709, , , , , , , -15.87, -3.543, -163.521, 1.200, -55.000, -15.667, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.484,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.177, -0.485, 1.313, 3.845, 13.916, -7.568, , , , , , , -15.974, -3.417, -163.674, 1.200, -55.000, -15.667, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.513,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.187, -0.465, 1.301, 29.785, 7.324, -1.465, , , , , , , -15.798, -3.329, -163.746, 1.200, -55.000, -15.667, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.513,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.184, -0.441, 1.262, 51.514, 1.099, 5.127, , , , , , , -15.386, -3.29, -163.74, 1.200, -55.000, -15.667, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.513,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.169, -0.418, 1.182, 68.359, -4.822, 11.108, , , , , , , -14.777, -3.285, -163.652, 1.200, -55.000, -15.667, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.513,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.149, -0.385, 1.09, 81.543, -8.545, 15.686, , , , , , , -14.013, -3.323, -163.499, 1.200, -55.000, -15.667, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.542,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.14, -0.348, 1.03, 88.318, -9.033, 18.86, , , , , , , -13.151, -3.367, -163.312, 6.700, -27.600, -30.540, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.542,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.136, -0.312, 0.987, 90.698, -9.094, 21.484, , , , , , , -12.25, -3.406, -163.092, 6.700, -27.600, -30.540, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.542,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.122, -0.288, 0.964, 91.553, -9.827, 23.987, , , , , , , -11.332, -3.444, -162.856, 6.700, -27.600, -30.540, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.542,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.101, -0.268, 0.965, 92.285, -11.23, 26.855, , , , , , , -10.404, -3.505, -162.581, 6.700, -27.600, -30.540, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.604,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.084, -0.244, 0.979, 92.163, -11.292, 28.931, , , , , , , -9.47, -3.56, -162.29, 6.700, -27.600, -30.540, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.604,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.066, -0.218, 0.991, 91.125, -13.306, 30.762, , , , , , , -8.553, -3.631, -161.966, 6.700, -27.600, -30.540, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
 14:04:42.604,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:12.140, -0.047, -0.197, 0.994, 90.759, -15.991, 30.579, , , , , , , -7.63, -3.73, -161.647, 6.700, -27.600, -30.540, 30.77, 0.18372, 0.01553, -0.28113, -0.94174,
