Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:48:42.250,d0:1c:1b:3a:ee:9d, 2015-01-01 01:47:18.700, 0.112, -0.012, 1.019, 17.578, -5.737, 39.246, , , , , , , 1.538, -8.542, 74.29, 2.700, -29.900, -29.300, 30.34, 0.88843, 0.00635, -0.05164, 0.45596,
 13:48:42.251,d0:1c:1b:3a:ee:9d, 2015-01-01 01:47:18.700, 0.107, 0, 1.033, 17.456, 1.038, 41.443, , , , , , , 1.692, -8.569, 74.756, 2.700, -29.900, -29.300, 30.34, 0.88843, 0.00635, -0.05164, 0.45596,
 13:48:42.251,d0:1c:1b:3a:ee:9d, 2015-01-01 01:47:18.700, 0.088, 0.012, 1.028, 15.686, 5.615, 44.128, , , , , , , 1.84, -8.531, 75.163, 2.700, -29.900, -29.300, 30.34, 0.88843, 0.00635, -0.05164, 0.45596,
 13:48:42.251,d0:1c:1b:3a:ee:9d, 2015-01-01 01:47:18.700, 0.069, 0.026, 1.012, 14.221, 5.92, 43.213, , , , , , , 1.961, -8.481, 75.663, 2.700, -29.900, -29.300, 30.34, 0.88843, 0.00635, -0.05164, 0.45596,
 13:48:42.280,d0:1c:1b:3a:ee:9d, 2015-01-01 01:47:18.700, 0.056, 0.044, 1.005, 13.794, 2.747, 38.025, , , , , , , 2.082, -8.443, 76.053, 2.700, -29.900, -29.300, 30.34, 0.88843, 0.00635, -0.05164, 0.45596,
 13:48:42.280,d0:1c:1b:3a:ee:9d, 2015-01-01 01:47:18.700, 0.044, 0.066, 1.007, 12.573, -1.648, 31.311, , , , , , , 2.197, -8.448, 76.448, 2.700, -29.900, -29.300, 30.34, 0.88843, 0.00635, -0.05164, 0.45596,
 13:48:42.280,d0:1c:1b:3a:ee:9d, 2015-01-01 01:47:18.700, 0.048, 0.069, 1.01, 12.268, -6.653, 25.818, , , , , , , 2.307, -8.498, 76.712, 2.700, -29.900, -29.300, 30.34, 0.88843, 0.00635, -0.05164, 0.45596,
 13:48:42.280,d0:1c:1b:3a:ee:9d, 2015-01-01 01:47:18.700, 0.062, 0.058, 1.021, 12.085, -8.667, 23.56, , , , , , , 2.411, -8.586, 77.009, 2.700, -29.900, -29.300, 30.34, 0.88843, 0.00635, -0.05164, 0.45596,
 13:48:42.309,d0:1c:1b:3a:ee:9d, 2015-01-01 01:47:18.700, 0.075, 0.048, 1.034, 11.78, -7.08, 23.376, , , , , , , 2.516, -8.674, 77.223, -1.300, -43.600, -25.860, 30.34, 0.88843, 0.00635, -0.05164, 0.45596,
 13:48:42.309,d0:1c:1b:3a:ee:9d, 2015-01-01 01:47:18.700, 0.085, 0.046, 1.042, 12.329, -5.249, 22.949, , , , , , , 2.62, -8.74, 77.509, -1.300, -43.600, -25.860, 30.34, 0.88843, 0.00635, -0.05164, 0.45596,
