Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:05:15.272,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.025, 0.099, 1.043, -19.531, -19.47, 15.93, , , , , , , 4.807, -7.8, -158.698, 3.300, -39.800, -27.193, 30.55, -0.21841, 0.01666, 0.08234, 0.9722,
 14:05:15.272,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.063, 0.081, 1.076, -15.747, -19.592, 15.381, , , , , , , 4.62, -8.015, -158.555, 3.300, -39.800, -27.193, 30.55, -0.21841, 0.01666, 0.08234, 0.9722,
 14:05:15.272,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.078, 0.064, 1.105, -11.292, -13.428, 14.282, , , , , , , 4.477, -8.19, -158.417, 3.300, -39.800, -27.193, 30.55, -0.21841, 0.01666, 0.08234, 0.9722,
 14:05:15.272,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.073, 0.055, 1.112, -7.385, -7.568, 13.428, , , , , , , 4.378, -8.3, -158.28, 3.300, -39.800, -27.193, 30.55, -0.21841, 0.01666, 0.08234, 0.9722,
 14:05:15.302,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.058, 0.046, 1.098, -4.211, -3.662, 11.597, , , , , , , 4.312, -8.361, -158.159, 3.300, -39.800, -27.193, 30.55, -0.1864, 0.00922, 0.03375, 0.98181,
 14:05:15.302,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.039, 0.035, 1.074, -2.136, -2.319, 10.498, , , , , , , 4.268, -8.394, -158.049, 3.300, -39.800, -27.193, 30.55, -0.1864, 0.00922, 0.03375, 0.98181,
 14:05:15.302,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.022, 0.025, 1.045, -1.16, -4.272, 9.888, , , , , , , 4.246, -8.432, -157.956, 3.300, -39.800, -27.193, 30.55, -0.1864, 0.00922, 0.03375, 0.98181,
 14:05:15.302,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.023, 0.02, 1.017, -1.587, -8.728, 9.521, , , , , , , 4.224, -8.503, -157.863, 3.300, -39.800, -27.193, 30.55, -0.1864, 0.00922, 0.03375, 0.98181,
 14:05:15.364,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.04, 0.017, 1.002, -3.052, -11.658, 9.094, , , , , , , 4.191, -8.613, -157.775, 3.300, -39.800, -27.193, 30.55, -0.1864, 0.00922, 0.03375, 0.98181,
 14:05:15.364,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.062, 0.016, 1.002, -5.127, -11.108, 8.789, , , , , , , 4.142, -8.734, -157.692, 3.300, -39.800, -27.193, 30.55, -0.1864, 0.00922, 0.03375, 0.98181,
 14:05:15.364,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.078, 0.015, 1.008, -6.226, -8.728, 8.484, , , , , , , 4.07, -8.839, -157.615, 3.300, -39.800, -27.193, 30.55, -0.1864, 0.00922, 0.03375, 0.98181,
 14:05:15.364,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.580, 0.089, 0.019, 1.017, -6.653, -6.47, 7.385, , , , , , , 3.999, -8.915, -157.538, 3.300, -39.800, -27.193, 30.55, -0.1864, 0.00922, 0.03375, 0.98181,
 14:05:15.393,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.935, 0.095, 0.031, 1.022, -7.568, -5.554, 5.371, , , , , , , 3.917, -8.976, -157.484, 3.300, -39.800, -27.193, 30.55, -0.1864, 0.00922, 0.03375, 0.98181,
 14:05:15.393,d0:1c:1b:3a:ee:9d, 2015-01-01 02:03:44.935, 0.103, 0.041, 1.023, -7.996, -6.287, 2.686, , , , , , , 3.829, -9.042, -157.445, 3.300, -39.800, -27.193, 30.55, -0.1864, 0.00922, 0.03375, 0.98181,
