Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:30:38.620,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.128, 0.146, 1.005, 1.16, 0.549, -0.244, , , , , , , 9.481, -13.206, -163.949, -11.700, -27.200, -26.507, 30.39, 0.1427, -0.05008, -0.08148, -0.98508,
 13:30:38.620,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.122, 0.148, 1.001, 0.183, 0.854, -0.244, , , , , , , 9.481, -13.206, -163.949, -11.700, -27.200, -26.507, 30.39, 0.1427, -0.05008, -0.08148, -0.98508,
 13:30:38.620,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.121, 0.147, 0.999, -0.305, 0.427, -0.61, , , , , , , 9.481, -13.206, -163.938, -11.700, -27.200, -26.507, 30.39, 0.1427, -0.05008, -0.08148, -0.98508,
 13:30:38.620,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.121, 0.144, 1.004, 0, 0.61, -0.488, , , , , , , 9.481, -13.206, -163.938, -11.700, -27.200, -26.507, 30.39, 0.1427, -0.05008, -0.08148, -0.98508,
 13:30:38.621,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.116, 0.144, 1.007, 0, 1.16, 0, , , , , , , 9.481, -13.206, -163.932, -11.700, -27.200, -26.507, 30.39, 0.1427, -0.05008, -0.08148, -0.98508,
 13:30:38.621,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.113, 0.146, 1.006, -0.61, 0.183, 0.366, , , , , , , 9.481, -13.206, -163.932, -11.700, -27.200, -26.507, 30.39, 0.1427, -0.05008, -0.08148, -0.98508,
 13:30:38.621,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.115, 0.144, 1.005, -0.488, -1.343, 0.61, , , , , , , 9.481, -13.206, -163.932, -11.700, -27.200, -26.507, 30.39, 0.1427, -0.05008, -0.08148, -0.98508,
 13:30:38.621,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.123, 0.14, 1.011, 0.732, -1.892, 0.549, , , , , , , 9.476, -13.2, -163.927, -11.700, -27.200, -26.507, 30.39, 0.1427, -0.05008, -0.08148, -0.98508,
 13:30:38.649,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.128, 0.144, 1.02, 1.16, -0.671, 0.305, , , , , , , 9.476, -13.2, -163.927, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.649,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.129, 0.146, 1.02, 1.648, 0.671, 0, , , , , , , 9.476, -13.2, -163.927, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.649,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.125, 0.148, 1.013, 1.892, 1.465, -0.366, , , , , , , 9.476, -13.2, -163.916, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.649,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.118, 0.15, 1.005, 1.343, 1.465, -0.305, , , , , , , 9.476, -13.2, -163.916, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.711,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.111, 0.148, 0.998, 1.099, 0.549, 0.366, , , , , , , 9.476, -13.2, -163.922, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.711,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.113, 0.147, 0.994, 0.61, -1.587, 0.793, , , , , , , 9.476, -13.2, -163.922, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.711,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.12, 0.146, 0.995, 0, -2.319, 0.916, , , , , , , 9.476, -13.2, -163.911, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.711,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:50.693, 0.126, 0.146, 0.998, -0.244, -2.075, 0.854, , , , , , , 9.476, -13.2, -163.911, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.740,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.129, 0.149, 1.003, -0.732, -1.526, 0.427, , , , , , , 9.476, -13.2, -163.911, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.740,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.13, 0.146, 1.008, -0.366, -0.671, 0, , , , , , , 9.476, -13.2, -163.911, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.740,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.13, 0.145, 1.012, -0.122, 0, -0.244, , , , , , , 9.476, -13.2, -163.905, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.740,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.131, 0.144, 1.016, 0.305, 0.916, -0.61, , , , , , , 9.476, -13.2, -163.905, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.770,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.125, 0.143, 1.016, 0.854, 2.319, -0.488, , , , , , , 9.476, -13.2, -163.905, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.770,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.115, 0.144, 1.011, 0.854, 1.831, 0, , , , , , , 9.47, -13.2, -163.905, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.770,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.114, 0.146, 1.005, 0.732, -0.488, 0.244, , , , , , , 9.47, -13.2, -163.911, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.770,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.12, 0.146, 1, 0.977, -2.136, 0.366, , , , , , , 9.47, -13.2, -163.911, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.829,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.13, 0.147, 0.999, 0.671, -2.441, 0.549, , , , , , , 9.47, -13.2, -163.911, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.829,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.132, 0.149, 0.999, -0.244, -0.916, 0.488, , , , , , , 9.47, -13.2, -163.911, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.829,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.129, 0.148, 0.999, -0.61, 0.122, -0.366, , , , , , , 9.47, -13.2, -163.905, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.829,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.127, 0.148, 1.002, -1.099, 0.488, -1.099, , , , , , , 9.47, -13.2, -163.905, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.859,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.125, 0.145, 1.009, -0.732, 1.465, -1.16, , , , , , , 9.47, -13.2, -163.9, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.859,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.119, 0.144, 1.014, -0.488, 1.648, -0.793, , , , , , , 9.47, -13.2, -163.9, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.859,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.113, 0.143, 1.016, -0.061, 0.732, -0.549, , , , , , , 9.47, -13.2, -163.905, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.859,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.112, 0.141, 1.017, 0.916, -0.549, -0.061, , , , , , , 9.47, -13.195, -163.905, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
 13:30:38.890,d0:1c:1b:3a:ee:9d, 2025-10-17 13:02:51.078, 0.118, 0.141, 1.017, 1.831, -1.648, 0.305, , , , , , , 9.47, -13.195, -163.905, -11.700, -27.200, -26.507, 30.39, 0.14346, -0.04956, -0.08139, -0.98502,
