Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:27:28.389,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:41.688, 0.215, 0.143, 1, -2.258, -2.014, -0.61, , , , , , , 10.223, -18.023, -170.09, -13.800, -27.000, -30.693, 30.17, 0.09348, -0.09451, -0.09174, -0.98682,
 13:27:28.389,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:41.688, 0.217, 0.148, 1.01, -1.709, -2.075, -1.221, , , , , , , 10.201, -18.045, -170.107, -13.800, -27.000, -30.693, 30.17, 0.09348, -0.09451, -0.09174, -0.98682,
 13:27:28.389,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:41.688, 0.217, 0.149, 1.013, -1.343, -1.282, -1.587, , , , , , , 10.184, -18.062, -170.123, -13.800, -27.000, -30.693, 30.17, 0.09348, -0.09451, -0.09174, -0.98682,
 13:27:28.389,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:41.688, 0.213, 0.145, 1.009, -0.977, 0, -1.709, , , , , , , 10.168, -18.067, -170.145, -13.800, -27.000, -30.693, 30.17, 0.09348, -0.09451, -0.09174, -0.98682,
 13:27:28.449,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:42.133, 0.207, 0.141, 1.001, -0.488, 1.465, -1.221, , , , , , , 10.157, -18.056, -170.156, -13.800, -27.000, -30.693, 30.17, 0.09348, -0.09451, -0.09174, -0.98682,
 13:27:28.449,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:42.133, 0.2, 0.139, 0.992, -0.366, 2.014, -0.366, , , , , , , 10.146, -18.04, -170.162, -13.800, -27.000, -30.693, 30.17, 0.09348, -0.09451, -0.09174, -0.98682,
 13:27:28.449,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:42.133, 0.196, 0.136, 0.984, -0.183, 1.526, 0.061, , , , , , , 10.14, -18.023, -170.162, -13.800, -27.000, -30.693, 30.17, 0.09348, -0.09451, -0.09174, -0.98682,
 13:27:28.449,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:42.133, 0.195, 0.135, 0.983, 0.366, 0.366, 0.488, , , , , , , 10.135, -18.018, -170.156, -13.800, -27.000, -30.693, 30.17, 0.09348, -0.09451, -0.09174, -0.98682,
 13:27:28.477,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:42.133, 0.198, 0.139, 0.988, 0.244, -0.549, 0.671, , , , , , , 10.129, -18.023, -170.151, -13.800, -27.000, -30.693, 30.17, 0.09348, -0.09451, -0.09174, -0.98682,
 13:27:28.477,d0:1c:1b:3a:ee:9d, 2025-10-17 12:59:42.133, 0.203, 0.142, 0.996, 0.305, -0.977, 0.61, , , , , , , 10.124, -18.034, -170.145, -13.800, -27.000, -30.693, 30.17, 0.09348, -0.09451, -0.09174, -0.98682,
