Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:54:51.617,d0:1c:1b:3a:ee:9d, 2025-10-17 13:26:53.648, 0.161, -0.03, 1.004, 5.371, 1.404, 4.761, , , , , , , 0.346, -16.216, -173.331, -11.300, -27.500, -31.133, 29.14, 0.05106, -0.08737, 0.0007, -0.99481,
 13:54:51.617,d0:1c:1b:3a:ee:9d, 2025-10-17 13:26:53.648, 0.163, -0.027, 0.991, 3.906, 0.305, 4.944, , , , , , , 0.379, -16.205, -173.282, -11.300, -27.500, -31.133, 29.14, 0.05106, -0.08737, 0.0007, -0.99481,
 13:54:51.617,d0:1c:1b:3a:ee:9d, 2025-10-17 13:26:53.648, 0.167, -0.025, 0.983, 1.831, 0.305, 5.005, , , , , , , 0.39, -16.205, -173.227, -11.300, -27.500, -31.133, 29.14, 0.05106, -0.08737, 0.0007, -0.99481,
 13:54:51.617,d0:1c:1b:3a:ee:9d, 2025-10-17 13:26:53.648, 0.168, -0.025, 0.982, -0.122, 0.549, 5.005, , , , , , , 0.385, -16.199, -173.177, -11.300, -27.500, -31.133, 29.14, 0.05106, -0.08737, 0.0007, -0.99481,
 13:54:51.678,d0:1c:1b:3a:ee:9d, 2025-10-17 13:26:53.648, 0.164, -0.025, 0.987, -1.587, 0.61, 5.371, , , , , , , 0.363, -16.194, -173.128, -11.300, -27.500, -31.133, 29.14, 0.05106, -0.08737, 0.0007, -0.99481,
 13:54:51.678,d0:1c:1b:3a:ee:9d, 2025-10-17 13:26:53.648, 0.161, -0.028, 0.996, -2.014, -0.061, 5.737, , , , , , , 0.324, -16.194, -173.068, -11.300, -27.500, -31.133, 29.14, 0.05106, -0.08737, 0.0007, -0.99481,
 13:54:51.678,d0:1c:1b:3a:ee:9d, 2025-10-17 13:26:53.648, 0.166, -0.034, 1.012, -1.099, -0.854, 6.042, , , , , , , 0.291, -16.199, -173.007, -11.300, -27.500, -31.133, 29.14, 0.05106, -0.08737, 0.0007, -0.99481,
 13:54:51.678,d0:1c:1b:3a:ee:9d, 2025-10-17 13:26:53.648, 0.167, -0.036, 1.029, -0.061, -0.183, 6.714, , , , , , , 0.269, -16.205, -172.947, -11.300, -27.500, -31.133, 29.14, 0.05106, -0.08737, 0.0007, -0.99481,
 13:54:51.708,d0:1c:1b:3a:ee:9d, 2025-10-17 13:26:53.648, 0.166, -0.035, 1.037, 1.282, 0.793, 7.874, , , , , , , 0.258, -16.205, -172.87, -11.300, -27.500, -31.133, 29.14, 0.05106, -0.08737, 0.0007, -0.99481,
 13:54:51.708,d0:1c:1b:3a:ee:9d, 2025-10-17 13:26:53.648, 0.161, -0.036, 1.037, 2.747, 1.404, 8.728, , , , , , , 0.258, -16.194, -172.787, -11.300, -27.500, -31.133, 29.14, 0.05106, -0.08737, 0.0007, -0.99481,
