Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 14:41:36.041,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.113, -0.038, 1.066, 4.883, -20.386, 4.15, , , , , , , -0.549, -10.393, -160.576, -57.600, -10.800, -23.353, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.043,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.12, -0.041, 1.071, 8.423, -14.954, 3.052, , , , , , , -0.483, -10.569, -160.538, -57.600, -10.800, -23.353, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.043,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.113, -0.034, 1.054, 9.949, -9.949, 1.587, , , , , , , -0.401, -10.69, -160.499, -57.600, -10.800, -23.353, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.044,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.1, -0.023, 1.027, 9.155, -7.324, 0.854, , , , , , , -0.308, -10.772, -160.488, -57.600, -10.800, -23.353, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.070,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.083, -0.011, 1.002, 6.897, -5.859, 0.671, , , , , , , -0.236, -10.838, -160.466, -57.400, -10.500, -23.733, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.070,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.072, 0.002, 0.984, 3.235, -5.859, 1.038, , , , , , , -0.192, -10.898, -160.455, -57.400, -10.500, -23.733, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.070,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.062, 0.009, 0.977, -0.916, -6.165, 2.319, , , , , , , -0.192, -10.959, -160.428, -57.400, -10.500, -23.733, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.070,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.053, 0.008, 0.982, -4.456, -7.812, 3.723, , , , , , , -0.225, -11.03, -160.395, -57.400, -10.500, -23.733, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.100,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.052, 0.002, 0.993, -7.629, -10.559, 4.883, , , , , , , -0.302, -11.124, -160.34, -57.400, -10.500, -23.733, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.100,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.058, -0.01, 1.006, -8.85, -11.963, 6.287, , , , , , , -0.396, -11.234, -160.28, -57.400, -10.500, -23.733, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.100,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.071, -0.024, 1.025, -7.08, -11.597, 7.629, , , , , , , -0.489, -11.354, -160.197, -57.400, -10.500, -23.733, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.100,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.079, -0.036, 1.052, -2.808, -8.484, 8.789, , , , , , , -0.549, -11.453, -160.109, -57.400, -10.500, -23.733, 27.71, -0.15247, 0.03491, -0.0145, 0.98755,
 14:41:36.162,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.085, -0.041, 1.068, 1.465, -6.592, 9.216, , , , , , , -0.571, -11.525, -160.005, -57.400, -10.500, -23.733, 27.71, -0.17117, 0.04608, -0.00528, 0.9841,
 14:41:36.162,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.09, -0.04, 1.062, 3.906, -5.92, 9.094, , , , , , , -0.555, -11.585, -159.911, -57.400, -10.500, -23.733, 27.71, -0.17117, 0.04608, -0.00528, 0.9841,
 14:41:36.162,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.087, -0.036, 1.042, 4.639, -5.066, 8.606, , , , , , , -0.522, -11.64, -159.807, -57.400, -10.500, -23.733, 27.71, -0.17117, 0.04608, -0.00528, 0.9841,
 14:41:36.162,d0:1c:1b:3a:ee:9d, 2025-10-17 14:13:18.043, 0.086, -0.03, 1.024, 3.723, -6.836, 7.69, , , , , , , -0.494, -11.695, -159.725, -57.400, -10.500, -23.733, 27.71, -0.17117, 0.04608, -0.00528, 0.9841,
