Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 20:22:10.621,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.105, 0.04, 0.016, 1.036, 1.831, 1.831, 0, , , , , , , 3.065, -10.102, 120.075, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.623,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.105, 0.044, 0.016, 1.038, 2.441, 1.953, -0.427, , , , , , , 3.076, -10.085, 120.07, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.623,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.105, 0.048, 0.015, 1.037, 3.174, 2.319, -0.793, , , , , , , 3.104, -10.074, 120.075, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.623,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.105, 0.045, 0.016, 1.033, 3.357, 2.93, -0.732, , , , , , , 3.131, -10.047, 120.064, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.680,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.044, 0.018, 1.027, 3.357, 2.991, -0.916, , , , , , , 3.159, -10.025, 120.075, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.680,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.041, 0.019, 1.023, 3.296, 3.052, -0.977, , , , , , , 3.186, -9.998, 120.064, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.680,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.035, 0.019, 1.021, 3.174, 3.418, -0.793, , , , , , , 3.219, -9.976, 120.064, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.680,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.029, 0.017, 1.02, 3.174, 3.357, -0.427, , , , , , , 3.241, -9.943, 120.053, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.710,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.023, 0.017, 1.02, 3.235, 2.808, -0.122, , , , , , , 3.274, -9.921, 120.07, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.710,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.023, 0.019, 1.021, 3.235, 1.77, 0, , , , , , , 3.296, -9.904, 120.064, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.710,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.031, 0.019, 1.023, 3.113, 1.282, 0, , , , , , , 3.323, -9.893, 120.081, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.710,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.039, 0.019, 1.03, 3.418, 2.441, 0.305, , , , , , , 3.351, -9.882, 120.081, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.739,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.032, 0.018, 1.036, 4.272, 4.395, 0.793, , , , , , , 3.384, -9.855, 120.103, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.739,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.026, 0.018, 1.036, 5.127, 4.395, 0.793, , , , , , , 3.422, -9.811, 120.114, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.739,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.028, 0.02, 1.036, 5.493, 2.686, 0.305, , , , , , , 3.472, -9.783, 120.135, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.739,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.031, 0.023, 1.039, 5.798, 1.709, -0.244, , , , , , , 3.527, -9.767, 120.13, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.801,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.032, 0.025, 1.038, 5.981, 1.099, -0.61, , , , , , , 3.582, -9.761, 120.141, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.801,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.036, 0.026, 1.03, 5.981, 0.488, -0.671, , , , , , , 3.631, -9.756, 120.135, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.801,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.039, 0.026, 1.023, 5.554, 0.732, -0.427, , , , , , , 3.686, -9.761, 120.141, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
 20:22:10.801,d0:1c:1b:3a:ee:9d, 2015-01-01 00:05:37.460, 0.037, 0.03, 1.016, 4.578, 1.709, -0.305, , , , , , , 3.73, -9.75, 120.135, 2.200, -9.000, -25.827, 29.13, -0.49866, -0.0386, 0.00223, -0.86588,
