Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 12:53:31.781,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.325, 0.437, 0.823, 3.479, 2.747, 11.292, , , , , , , 30.207, -26.68, 171.491, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
 12:53:31.781,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.337, 0.437, 0.818, 0.793, 4.639, 12.695, , , , , , , 30.174, -26.702, 171.623, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
 12:53:31.781,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.358, 0.431, 0.822, -1.282, 8.545, 14.343, , , , , , , 30.108, -26.713, 171.782, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
 12:53:31.781,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.369, 0.426, 0.84, -2.258, 15.32, 15.869, , , , , , , 30.009, -26.686, 171.985, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
 12:53:31.811,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.358, 0.434, 0.856, -4.822, 24.719, 18.311, , , , , , , 29.877, -26.587, 172.249, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
 12:53:31.811,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.327, 0.443, 0.855, -8.057, 31.555, 20.813, , , , , , , 29.685, -26.433, 172.584, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
 12:53:31.811,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.295, 0.447, 0.841, -11.963, 33.691, 24.048, , , , , , , 29.449, -26.246, 172.958, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
 12:53:31.811,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.283, 0.451, 0.825, -17.334, 33.264, 27.71, , , , , , , 29.152, -26.076, 173.37, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
 12:53:31.872,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.288, 0.46, 0.803, -27.161, 33.508, 33.264, , , , , , , 28.768, -25.928, 173.82, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
 12:53:31.872,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.289, 0.479, 0.776, -41.748, 36.438, 39.368, , , , , , , 28.235, -25.79, 174.337, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
 12:53:31.872,d0:1c:1b:3a:ee:9d, 2015-01-01 00:58:18.040, 0.263, 0.505, 0.73, -61.951, 41.199, 44.739, , , , , , , 27.51, -25.637, 174.919, -6.400, -49.100, -24.247, 30.55, 0.0271, 0.19061, 0.23102, 0.95364,
