Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:55:31.387,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, 0.004, 0.034, 0.995, -6.287, 5.493, -16.785, , , , , , , 5.032, -9.086, -95.158, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.388,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, 0.005, 0.039, 0.997, -7.202, 1.953, -14.771, , , , , , , 4.96, -9.042, -95.306, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.388,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, 0.002, 0.042, 0.996, -8.85, 1.099, -13.184, , , , , , , 4.883, -9.02, -95.488, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.388,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.006, 0.043, 0.993, -11.353, 1.77, -10.742, , , , , , , 4.779, -8.998, -95.603, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.417,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.016, 0.037, 0.991, -13.428, 2.991, -6.714, , , , , , , 4.653, -8.97, -95.729, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.417,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.039, 0.029, 0.992, -14.404, 5.066, -1.282, , , , , , , 4.504, -8.926, -95.768, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.417,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.063, 0.018, 1.006, -14.038, 5.798, 8.362, , , , , , , 4.356, -8.871, -95.768, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.417,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.09, 0, 1.022, -13.55, 7.629, 21.179, , , , , , , 4.202, -8.817, -95.609, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.477,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.115, -0.017, 1.03, -13.245, 8.179, 34.973, , , , , , , 4.048, -8.745, -95.361, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.477,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.139, -0.024, 1.031, -13.367, 7.385, 49.011, , , , , , , 3.889, -8.69, -94.927, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.477,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.152, -0.026, 1.023, -13.123, 3.296, 62.439, , , , , , , 3.724, -8.663, -94.4, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.477,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.149, -0.031, 1.017, -11.841, -5.92, 75.378, , , , , , , 3.565, -8.712, -93.708, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.507,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.133, -0.035, 1.021, -9.949, -11.047, 88.257, , , , , , , 3.411, -8.839, -92.928, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.507,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.116, -0.028, 1.033, -8.728, -13.489, 100.098, , , , , , , 3.268, -9.003, -91.983, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.507,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.104, -0.012, 1.063, -6.592, -8.301, 110.901, , , , , , , 3.131, -9.157, -90.967, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.507,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.065, -0.009, 1.083, -1.587, -4.822, 118.53, , , , , , , 3.027, -9.256, -89.808, 4.500, -38.600, -31.313, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.537,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, -0.014, -0.007, 1.088, 3.357, -1.892, 120.728, , , , , , , 2.966, -9.333, -88.654, 4.000, -38.300, -33.087, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.537,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, 0.019, 0.005, 1.089, 7.935, 4.578, 120.178, , , , , , , 2.95, -9.36, -87.446, 4.000, -38.300, -33.087, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.537,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, 0.05, 0.013, 1.089, 12.512, 4.578, 117.249, , , , , , , 2.988, -9.349, -86.298, 4.000, -38.300, -33.087, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.537,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, 0.066, 0.018, 1.101, 15.625, 9.644, 114.624, , , , , , , 3.06, -9.316, -85.133, 4.000, -38.300, -33.087, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.568,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, 0.059, 0.025, 1.097, 17.212, 10.62, 111.023, , , , , , , 3.164, -9.25, -84.045, 4.000, -38.300, -33.087, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.568,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, 0.052, 0.034, 1.086, 19.836, 8.728, 104.858, , , , , , , 3.279, -9.196, -82.963, 4.000, -38.300, -33.087, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
 13:55:31.568,d0:1c:1b:3a:ee:9d, 2015-01-01 01:54:05.005, 0.061, 0.03, 1.075, 24.292, 1.892, 97.412, , , , , , , 3.45, -9.179, -81.991, 4.000, -38.300, -33.087, 30.78, 0.70981, 0.00516, -0.0329, -0.70352,
