Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),ShiftX(mm),ShiftY(mm),ShiftZ(mm),SpeedX(mm/s),SpeedY(mm/s),SpeedZ(mm/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 13:25:47.932,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.125, 0.053, 1.019, 7.263, 2.014, 1.404, , , , , , , 4.889, -14.013, -161.175, -1.600, -36.800, -29.587, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:47.933,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.126, 0.063, 1.008, 7.08, 0.61, 1.526, , , , , , , 4.949, -14.002, -161.158, -1.600, -36.800, -29.587, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:47.933,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.137, 0.075, 1.009, 7.202, -0.977, 0.793, , , , , , , 5.01, -14.008, -161.153, -1.600, -36.800, -29.587, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:47.933,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.145, 0.082, 1.013, 7.324, -0.671, 0.549, , , , , , , 5.076, -14.019, -161.142, -1.600, -36.800, -29.587, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:47.993,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.143, 0.086, 1.011, 6.775, 0.793, 0.305, , , , , , , 5.142, -14.019, -161.142, -1.600, -36.800, -29.587, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:47.993,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.136, 0.089, 1.005, 5.798, 1.648, -0.122, , , , , , , 5.191, -14.002, -161.142, -1.600, -36.800, -29.587, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:47.993,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.128, 0.089, 1, 4.883, 1.221, -0.305, , , , , , , 5.24, -13.991, -161.147, -1.600, -36.800, -29.587, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:47.993,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.12, 0.091, 0.998, 4.395, 0, -1.16, , , , , , , 5.279, -13.98, -161.153, -1.600, -36.800, -29.587, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:48.022,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.117, 0.09, 0.996, 3.906, -1.648, -1.343, , , , , , , 5.312, -13.991, -161.175, -0.500, -37.800, -29.253, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:48.022,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.123, 0.086, 1, 3.479, -2.686, -0.916, , , , , , , 5.345, -14.013, -161.186, -0.500, -37.800, -29.253, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:48.022,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.128, 0.084, 1.007, 3.723, -2.258, -0.183, , , , , , , 5.372, -14.041, -161.197, -0.500, -37.800, -29.253, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:48.022,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.128, 0.083, 1.013, 3.845, -2.258, 0.427, , , , , , , 5.405, -14.062, -161.197, -0.500, -37.800, -29.253, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:48.083,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.134, 0.081, 1.014, 3.845, -3.052, 0.854, , , , , , , 5.433, -14.09, -161.197, -0.500, -37.800, -29.253, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:48.083,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.143, 0.079, 1.013, 3.784, -2.747, 0.977, , , , , , , 5.46, -14.123, -161.191, -0.500, -37.800, -29.253, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:48.083,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.15, 0.079, 1.012, 3.601, -1.465, 1.526, , , , , , , 5.493, -14.145, -161.18, -0.500, -37.800, -29.253, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
 13:25:48.083,d0:1c:1b:3a:ee:9d, 2015-01-01 01:30:20.375, 0.155, 0.083, 1.009, 3.052, -0.427, 1.892, , , , , , , 5.515, -14.156, -161.164, -0.500, -37.800, -29.253, 30.33, 0.16061, -0.06857, -0.0524, -0.98318,
